return_id,order_id,product_id,return_date,quantity_returned,return_reason,refund_amount,return_status,return_month
RET-00041,ORD-000584,PRD-0047,2026-07-27,10,Customer Requirement Changed,660562.5,Approved,2026-07
RET-00042,ORD-000584,PRD-0052,2026-07-06,4,Quality Issue,153520.0,Approved,2026-07
RET-00043,ORD-000590,PRD-0045,2026-01-17,6,Damaged in Transit,25740.0,Completed,2026-01
RET-00044,ORD-000625,PRD-0010,2026-04-24,1,Customer Requirement Changed,50450.0,Completed,2026-04
RET-00045,ORD-000658,PRD-0058,2026-06-01,11,Excess Quantity,300836.25,Completed,2026-06
RET-00046,ORD-000658,PRD-0007,2026-05-10,4,Damaged in Transit,126350.0,Approved,2026-05
RET-00047,ORD-000678,PRD-0027,2026-05-09,35,Customer Requirement Changed,392437.5,Completed,2026-05
RET-00048,ORD-000678,PRD-0001,2026-05-17,3,Customer Requirement Changed,132300.0,Completed,2026-05
RET-00049,ORD-000678,PRD-0049,2026-04-23,48,Incorrect Item,99900.0,Completed,2026-04
RET-00050,ORD-000678,PRD-0034,2026-04-28,6,Quality Issue,15960.0,Completed,2026-04
RET-00051,ORD-000678,PRD-0022,2026-04-23,19,Excess Quantity,265050.0,Completed,2026-04
RET-00052,ORD-000678,PRD-0007,2026-05-06,6,Incorrect Item,179550.0,Completed,2026-05
RET-00053,ORD-000678,PRD-0045,2026-05-19,41,Damaged in Transit,166870.0,Completed,2026-05
RET-00054,ORD-000713,PRD-0040,2026-01-26,15,Damaged in Transit,952425.0,Approved,2026-01
RET-00055,ORD-000719,PRD-0028,2026-01-14,7,Quality Issue,42560.0,Completed,2026-01
RET-00056,ORD-000736,PRD-0011,2025-12-19,1,Excess Quantity,47737.5,Completed,2025-12
RET-00057,ORD-000736,PRD-0005,2025-12-10,6,Customer Requirement Changed,65550.0,Completed,2025-12
RET-00058,ORD-000754,PRD-0061,2025-06-03,3,Quality Issue,14700.0,Approved,2025-06
RET-00059,ORD-000754,PRD-0007,2025-05-26,2,Defective Product,59850.0,Completed,2025-05
RET-00060,ORD-000763,PRD-0036,2026-03-20,2,Incorrect Item,332767.5,Approved,2026-03
RET-00061,ORD-000763,PRD-0049,2026-03-11,1,Defective Product,2025.0,Completed,2026-03
RET-00062,ORD-000771,PRD-0007,2025-08-27,8,Damaged in Transit,252700.0,Completed,2025-08
RET-00063,ORD-000771,PRD-0034,2025-08-09,8,Excess Quantity,20160.0,Approved,2025-08
RET-00064,ORD-000771,PRD-0053,2025-08-24,16,Excess Quantity,723600.0,Completed,2025-08
RET-00065,ORD-000771,PRD-0058,2025-08-21,8,Incorrect Item,201960.0,Approved,2025-08
RET-00066,ORD-000771,PRD-0024,2025-08-20,45,Excess Quantity,807750.0,Approved,2025-08
RET-00067,ORD-000771,PRD-0005,2025-08-23,26,Incorrect Item,276575.0,Completed,2025-08
RET-00068,ORD-000778,PRD-0006,2025-10-25,10,Damaged in Transit,256500.0,Completed,2025-10
RET-00069,ORD-000787,PRD-0065,2026-01-24,6,Defective Product,48600.0,Completed,2026-01
RET-00070,ORD-000787,PRD-0007,2026-01-28,1,Quality Issue,32418.75,Completed,2026-01
RET-00071,ORD-000793,PRD-0034,2025-05-10,9,Quality Issue,23940.0,Approved,2025-05
RET-00072,ORD-000816,PRD-0008,2025-07-31,11,Customer Requirement Changed,122265.0,Completed,2025-07
RET-00073,ORD-000816,PRD-0040,2025-07-28,2,Excess Quantity,134045.0,Completed,2025-07
RET-00074,ORD-000833,PRD-0066,2026-01-17,8,Customer Requirement Changed,38160.0,Completed,2026-01
RET-00075,ORD-000909,PRD-0057,2025-04-07,2,Defective Product,50900.0,Completed,2025-04
RET-00076,ORD-000932,PRD-0060,2026-05-02,6,Damaged in Transit,86362.5,Completed,2026-05
RET-00077,ORD-000932,PRD-0005,2026-05-10,14,Excess Quantity,152950.0,Completed,2026-05
RET-00078,ORD-000932,PRD-0048,2026-05-20,4,Quality Issue,577440.0,Completed,2026-05
RET-00079,ORD-000932,PRD-0013,2026-05-17,23,Quality Issue,181125.0,Approved,2026-05
RET-00080,ORD-000945,PRD-0034,2025-05-11,3,Incorrect Item,7980.0,Approved,2025-05
RET-00081,ORD-000945,PRD-0066,2025-05-11,16,Defective Product,74200.0,Completed,2025-05
RET-00082,ORD-000945,PRD-0026,2025-05-01,33,Quality Issue,158317.5,Completed,2025-05
RET-00083,ORD-000964,PRD-0004,2025-11-12,19,Quality Issue,124782.5,Completed,2025-11
RET-00084,ORD-000964,PRD-0067,2025-11-27,24,Damaged in Transit,44280.0,Approved,2025-11
RET-00085,ORD-000964,PRD-0038,2025-11-12,5,Damaged in Transit,149387.5,Completed,2025-11
RET-00086,ORD-000964,PRD-0005,2025-11-18,11,Customer Requirement Changed,123337.5,Completed,2025-11
RET-00087,ORD-000966,PRD-0063,2025-06-29,7,Damaged in Transit,86336.25,Completed,2025-06
RET-00088,ORD-000966,PRD-0057,2025-06-24,2,Defective Product,48355.0,Completed,2025-06
RET-00089,ORD-001003,PRD-0023,2026-07-31,3,Excess Quantity,129315.0,Completed,2026-07
RET-00090,ORD-001003,PRD-0070,2026-08-15,10,Damaged in Transit,49725.0,Completed,2026-08
RET-00091,ORD-001003,PRD-0005,2026-08-18,6,Defective Product,65550.0,Completed,2026-08
RET-00092,ORD-001003,PRD-0047,2026-08-04,2,Excess Quantity,135500.0,Completed,2026-08
RET-00093,ORD-001003,PRD-0021,2026-08-09,6,Damaged in Transit,841102.5,Completed,2026-08
RET-00094,ORD-001018,PRD-0034,2026-06-10,3,Defective Product,7560.0,Completed,2026-06
RET-00095,ORD-001018,PRD-0040,2026-06-19,21,Defective Product,1333395.0,Completed,2026-06
RET-00096,ORD-001018,PRD-0069,2026-06-10,3,Quality Issue,118845.0,Completed,2026-06
RET-00097,ORD-001018,PRD-0057,2026-06-14,7,Quality Issue,178150.0,Completed,2026-06
RET-00098,ORD-001018,PRD-0038,2026-06-01,10,Incorrect Item,306850.0,Approved,2026-06
RET-00099,ORD-001043,PRD-0005,2026-05-24,5,Incorrect Item,57500.0,Completed,2026-05
RET-00100,ORD-001043,PRD-0036,2026-05-14,6,Defective Product,947107.5,Completed,2026-05
RET-00101,ORD-001080,PRD-0022,2026-05-15,7,Damaged in Transit,92767.5,Completed,2026-05
RET-00102,ORD-001135,PRD-0066,2025-05-27,15,Customer Requirement Changed,71550.0,Completed,2025-05
RET-00103,ORD-001135,PRD-0045,2025-06-23,12,Defective Product,47520.0,Approved,2025-06
RET-00104,ORD-001160,PRD-0045,2025-09-27,17,Damaged in Transit,67320.0,Completed,2025-09
RET-00105,ORD-001171,PRD-0052,2025-11-30,3,Quality Issue,112110.0,Completed,2025-11
RET-00106,ORD-001171,PRD-0046,2025-11-11,3,Customer Requirement Changed,423600.0,Completed,2025-11
RET-00107,ORD-001173,PRD-0030,2025-09-20,14,Excess Quantity,501900.0,Completed,2025-09
RET-00108,ORD-001173,PRD-0049,2025-09-03,27,Defective Product,54675.0,Completed,2025-09
RET-00109,ORD-001173,PRD-0005,2025-09-12,11,Defective Product,123337.5,Completed,2025-09
RET-00110,ORD-001173,PRD-0058,2025-08-31,5,Defective Product,129731.25,Completed,2025-08
RET-00111,ORD-001173,PRD-0013,2025-09-13,20,Damaged in Transit,153125.0,Completed,2025-09
RET-00112,ORD-001184,PRD-0001,2026-07-19,1,Defective Product,42875.0,Completed,2026-07
RET-00113,ORD-001184,PRD-0066,2026-07-12,20,Damaged in Transit,100700.0,Approved,2026-07
RET-00114,ORD-001203,PRD-0046,2026-07-23,5,Customer Requirement Changed,688350.0,Completed,2026-07
RET-00115,ORD-001218,PRD-0005,2025-08-06,6,Incorrect Item,65550.0,Approved,2025-08
RET-00116,ORD-001282,PRD-0027,2025-08-17,4,Excess Quantity,41400.0,Completed,2025-08
RET-00117,ORD-001282,PRD-0006,2025-09-06,2,Damaged in Transit,49950.0,Completed,2025-09
RET-00118,ORD-001305,PRD-0050,2026-08-28,13,Customer Requirement Changed,14040.0,Completed,2026-08
RET-00119,ORD-001313,PRD-0045,2026-03-18,1,Excess Quantity,4400.0,Completed,2026-03
RET-00120,ORD-001328,PRD-0034,2025-06-20,1,Excess Quantity,2590.0,Completed,2025-06
RET-00121,ORD-001338,PRD-0063,2026-03-21,49,Incorrect Item,542368.75,Approved,2026-03
RET-00122,ORD-001338,PRD-0003,2026-03-29,24,Damaged in Transit,2066220.0,Completed,2026-03
RET-00123,ORD-001338,PRD-0053,2026-03-22,16,Defective Product,804000.0,Completed,2026-03
RET-00124,ORD-001338,PRD-0036,2026-03-21,8,Defective Product,1331070.0,Approved,2026-03
RET-00125,ORD-001338,PRD-0058,2026-03-26,8,Quality Issue,218790.0,Completed,2026-03
RET-00126,ORD-001338,PRD-0023,2026-04-01,20,Defective Product,885400.0,Completed,2026-04
RET-00127,ORD-001338,PRD-0045,2026-03-30,57,Excess Quantity,250800.0,Approved,2026-03
RET-00128,ORD-001388,PRD-0045,2026-03-21,9,Defective Product,36630.0,Completed,2026-03
RET-00129,ORD-001388,PRD-0065,2026-03-31,21,Customer Requirement Changed,179550.0,Completed,2026-03
RET-00130,ORD-001388,PRD-0027,2026-03-16,12,Customer Requirement Changed,124200.0,Completed,2026-03
RET-00131,ORD-001388,PRD-0049,2026-04-04,23,Defective Product,45281.25,Approved,2026-04
RET-00132,ORD-001427,PRD-0050,2026-06-29,13,Excess Quantity,14820.0,Completed,2026-06
RET-00133,ORD-001427,PRD-0064,2026-06-30,1,Defective Product,38237.5,Completed,2026-06
RET-00134,ORD-001466,PRD-0034,2026-05-24,3,Customer Requirement Changed,7560.0,Completed,2026-05
RET-00135,ORD-001466,PRD-0045,2026-05-24,33,Incorrect Item,141570.0,Completed,2026-05
RET-00136,ORD-001466,PRD-0038,2026-06-01,3,Quality Issue,94477.5,Completed,2026-06
RET-00137,ORD-001466,PRD-0066,2026-05-27,36,Customer Requirement Changed,171720.0,Completed,2026-05
RET-00138,ORD-001512,PRD-0066,2026-08-01,23,Damaged in Transit,118852.5,Approved,2026-08
RET-00139,ORD-001512,PRD-0019,2026-08-01,25,Incorrect Item,68218.75,Approved,2026-08
RET-00140,ORD-001512,PRD-0005,2026-07-12,34,Customer Requirement Changed,391000.0,Completed,2026-07
RET-00141,ORD-001512,PRD-0049,2026-08-01,16,Incorrect Item,34200.0,Completed,2026-08
RET-00142,ORD-001533,PRD-0037,2026-09-01,17,Excess Quantity,130050.0,Completed,2026-09
RET-00143,ORD-001533,PRD-0013,2026-09-01,5,Defective Product,41562.5,Completed,2026-09
RET-00144,ORD-001545,PRD-0040,2026-07-16,6,Damaged in Transit,423300.0,Completed,2026-07
RET-00145,ORD-001545,PRD-0035,2026-07-17,2,Incorrect Item,352440.0,Approved,2026-07
RET-00146,ORD-001545,PRD-0022,2026-07-22,7,Incorrect Item,92767.5,Approved,2026-07
RET-00147,ORD-001555,PRD-0032,2026-06-06,12,Defective Product,4485195.0,Approved,2026-06
RET-00148,ORD-001555,PRD-0027,2026-05-14,79,Defective Product,840362.5,Completed,2026-05
RET-00149,ORD-001571,PRD-0003,2025-12-24,5,Excess Quantity,408387.5,Approved,2025-12
RET-00150,ORD-001571,PRD-0005,2026-01-21,12,Defective Product,127650.0,Completed,2026-01
RET-00151,ORD-001571,PRD-0050,2025-12-26,4,Quality Issue,4800.0,Completed,2025-12
RET-00152,ORD-001571,PRD-0032,2025-12-29,2,Excess Quantity,766700.0,Completed,2025-12
RET-00153,ORD-001573,PRD-0069,2026-04-29,4,Incorrect Item,158460.0,Completed,2026-04
RET-00154,ORD-001586,PRD-0024,2025-12-05,36,Damaged in Transit,581580.0,Completed,2025-12
RET-00155,ORD-001586,PRD-0053,2025-12-21,9,Defective Product,440943.75,Completed,2025-12
RET-00156,ORD-001627,PRD-0025,2026-07-02,5,Incorrect Item,143062.5,Completed,2026-07
RET-00157,ORD-001627,PRD-0007,2026-07-24,2,Defective Product,63175.0,Completed,2026-07
RET-00158,ORD-001638,PRD-0052,2025-06-20,8,Quality Issue,298960.0,Completed,2025-06
RET-00159,ORD-001638,PRD-0045,2025-06-24,33,Customer Requirement Changed,141570.0,Approved,2025-06
RET-00160,ORD-001638,PRD-0005,2025-06-24,33,Defective Product,341550.0,Completed,2025-06
RET-00161,ORD-001650,PRD-0069,2026-07-07,4,Defective Product,150120.0,Completed,2026-07
RET-00162,ORD-001650,PRD-0034,2026-07-24,4,Customer Requirement Changed,10360.0,Completed,2026-07
RET-00163,ORD-001650,PRD-0043,2026-07-02,4,Excess Quantity,129420.0,Completed,2026-07
RET-00164,ORD-001650,PRD-0021,2026-07-04,4,Incorrect Item,591045.0,Completed,2026-07
RET-00165,ORD-001681,PRD-0002,2026-07-29,15,Excess Quantity,780750.0,Completed,2026-07
RET-00166,ORD-001685,PRD-0007,2025-05-03,1,Incorrect Item,31587.5,Completed,2025-05
RET-00167,ORD-001685,PRD-0050,2025-04-20,5,Incorrect Item,5550.0,Completed,2025-04
RET-00168,ORD-001730,PRD-0056,2025-06-11,13,Customer Requirement Changed,197730.0,Completed,2025-06
RET-00169,ORD-001730,PRD-0017,2025-06-16,6,Quality Issue,91500.0,Completed,2025-06
RET-00170,ORD-001730,PRD-0066,2025-06-06,47,Excess Quantity,230417.5,Approved,2025-06
RET-00171,ORD-001730,PRD-0034,2025-05-31,16,Quality Issue,43680.0,Completed,2025-05
RET-00172,ORD-001741,PRD-0038,2026-04-16,10,Defective Product,306850.0,Approved,2026-04
RET-00173,ORD-001741,PRD-0011,2026-04-05,5,Damaged in Transit,244968.75,Completed,2026-04
RET-00174,ORD-001742,PRD-0030,2026-03-04,6,Quality Issue,204345.0,Completed,2026-03
RET-00175,ORD-001750,PRD-0066,2026-05-11,4,Customer Requirement Changed,21200.0,Approved,2026-05
RET-00176,ORD-001771,PRD-0040,2025-03-30,1,Customer Requirement Changed,68786.25,Completed,2025-03
RET-00177,ORD-001771,PRD-0066,2025-03-30,17,Damaged in Transit,90100.0,Approved,2025-03
RET-00178,ORD-001793,PRD-0058,2026-03-04,1,Quality Issue,25245.0,Completed,2026-03
RET-00179,ORD-001793,PRD-0064,2026-03-07,9,Customer Requirement Changed,344137.5,Approved,2026-03
RET-00180,ORD-001797,PRD-0033,2026-08-23,4,Quality Issue,343590.0,Completed,2026-08
RET-00181,ORD-001797,PRD-0044,2026-08-29,33,Damaged in Transit,99495.0,Completed,2026-08
RET-00182,ORD-001797,PRD-0067,2026-09-01,25,Excess Quantity,46125.0,Approved,2026-09
RET-00183,ORD-001825,PRD-0017,2026-01-31,1,Customer Requirement Changed,15250.0,Completed,2026-01
RET-00184,ORD-001831,PRD-0035,2026-07-02,12,Excess Quantity,2114640.0,Completed,2026-07
RET-00185,ORD-001831,PRD-0043,2026-07-08,15,Incorrect Item,485325.0,Completed,2026-07
RET-00186,ORD-001831,PRD-0070,2026-06-26,30,Defective Product,149175.0,Completed,2026-06
RET-00187,ORD-001831,PRD-0009,2026-07-10,9,Excess Quantity,641677.5,Completed,2026-07
RET-00188,ORD-001831,PRD-0021,2026-06-20,9,Customer Requirement Changed,1295752.5,Completed,2026-06
RET-00189,ORD-001831,PRD-0045,2026-07-05,39,Damaged in Transit,163020.0,Approved,2026-07
RET-00190,ORD-001888,PRD-0028,2025-12-30,14,Defective Product,85120.0,Approved,2025-12
RET-00191,ORD-001890,PRD-0034,2026-09-01,7,Defective Product,18620.0,Completed,2026-09
RET-00192,ORD-001894,PRD-0038,2025-04-02,12,Damaged in Transit,368220.0,Approved,2025-04
RET-00193,ORD-001894,PRD-0049,2025-04-02,34,Customer Requirement Changed,72675.0,Completed,2025-04
RET-00194,ORD-001894,PRD-0034,2025-04-02,6,Damaged in Transit,15120.0,Completed,2025-04
RET-00195,ORD-001894,PRD-0005,2025-03-25,12,Excess Quantity,134550.0,Completed,2025-03
RET-00196,ORD-001894,PRD-0007,2025-04-04,6,Excess Quantity,189525.0,Completed,2025-04
RET-00197,ORD-001894,PRD-0064,2025-03-23,9,Excess Quantity,335081.25,Completed,2025-03
RET-00198,ORD-001900,PRD-0009,2026-06-15,9,Damaged in Transit,658563.75,Completed,2026-06
RET-00199,ORD-001900,PRD-0034,2026-06-15,6,Excess Quantity,16380.0,Completed,2026-06
RET-00200,ORD-001900,PRD-0007,2026-06-13,12,Excess Quantity,379050.0,Completed,2026-06
RET-00201,ORD-001900,PRD-0032,2026-06-09,3,Customer Requirement Changed,1006293.75,Completed,2026-06
RET-00202,ORD-001900,PRD-0038,2026-06-18,6,Defective Product,179265.0,Completed,2026-06
RET-00203,ORD-001955,PRD-0021,2025-10-25,2,Defective Product,287945.0,Completed,2025-10
RET-00204,ORD-001955,PRD-0003,2025-11-10,3,Customer Requirement Changed,264900.0,Approved,2025-11
RET-00205,ORD-001979,PRD-0038,2026-09-01,12,Quality Issue,377910.0,Approved,2026-09
RET-00206,ORD-001979,PRD-0013,2026-09-01,8,Defective Product,64750.0,Completed,2026-09
RET-00207,ORD-002014,PRD-0045,2026-09-01,16,Excess Quantity,66880.0,Completed,2026-09
RET-00208,ORD-002014,PRD-0058,2026-09-01,5,Excess Quantity,133237.5,Completed,2026-09
RET-00209,ORD-002026,PRD-0034,2026-03-27,6,Damaged in Transit,16800.0,Completed,2026-03
RET-00210,ORD-002026,PRD-0032,2026-03-25,12,Defective Product,4140180.0,Completed,2026-03
RET-00211,ORD-002026,PRD-0013,2026-03-08,51,Incorrect Item,412781.25,Completed,2026-03
RET-00212,ORD-002026,PRD-0063,2026-03-28,33,Customer Requirement Changed,417450.0,Completed,2026-03
RET-00213,ORD-002096,PRD-0007,2025-04-27,1,Incorrect Item,33250.0,Completed,2025-04
RET-00214,ORD-002096,PRD-0040,2025-05-11,6,Defective Product,380970.0,Completed,2025-05
RET-00215,ORD-002106,PRD-0013,2026-05-16,29,Excess Quantity,228375.0,Completed,2026-05
RET-00216,ORD-002106,PRD-0060,2026-05-21,2,Defective Product,29610.0,Completed,2026-05
RET-00217,ORD-002106,PRD-0034,2026-05-29,6,Excess Quantity,15960.0,Completed,2026-05
RET-00218,ORD-002106,PRD-0040,2026-05-09,6,Quality Issue,402135.0,Completed,2026-05
RET-00219,ORD-002106,PRD-0046,2026-05-25,10,Damaged in Transit,1341400.0,Approved,2026-05
RET-00220,ORD-002106,PRD-0023,2026-05-12,2,Customer Requirement Changed,93200.0,Completed,2026-05
RET-00221,ORD-002106,PRD-0003,2026-05-17,10,Customer Requirement Changed,838850.0,Completed,2026-05
RET-00222,ORD-002186,PRD-0011,2026-06-04,6,Excess Quantity,293962.5,Completed,2026-06
RET-00223,ORD-002186,PRD-0038,2026-06-01,6,Quality Issue,193800.0,Approved,2026-06
RET-00224,ORD-002213,PRD-0007,2025-12-28,3,Customer Requirement Changed,99750.0,Completed,2025-12
RET-00225,ORD-002213,PRD-0024,2025-12-28,7,Defective Product,119367.5,Completed,2025-12
RET-00226,ORD-002282,PRD-0037,2026-06-04,19,Quality Issue,145350.0,Completed,2026-06
RET-00227,ORD-002282,PRD-0023,2026-06-03,1,Defective Product,44270.0,Completed,2026-06
RET-00228,ORD-002284,PRD-0007,2025-09-18,3,Incorrect Item,92268.75,Completed,2025-09
RET-00229,ORD-002313,PRD-0004,2025-04-26,3,Customer Requirement Changed,20235.0,Completed,2025-04
RET-00230,ORD-002313,PRD-0003,2025-05-18,7,Excess Quantity,540837.5,Completed,2025-05
RET-00231,ORD-002316,PRD-0063,2026-05-02,30,Excess Quantity,370012.5,Approved,2026-05
RET-00232,ORD-002316,PRD-0053,2026-05-17,8,Defective Product,391950.0,Completed,2026-05
RET-00233,ORD-002327,PRD-0066,2025-09-04,4,Defective Product,20670.0,Completed,2025-09
RET-00234,ORD-002327,PRD-0031,2025-09-12,13,Excess Quantity,20280.0,Completed,2025-09
RET-00235,ORD-002363,PRD-0060,2026-01-06,2,Incorrect Item,32900.0,Approved,2026-01
RET-00236,ORD-002363,PRD-0058,2026-01-10,13,Quality Issue,355533.75,Completed,2026-01
RET-00237,ORD-002363,PRD-0066,2026-01-18,28,Customer Requirement Changed,140980.0,Completed,2026-01
RET-00238,ORD-002374,PRD-0001,2025-09-19,13,Excess Quantity,605150.0,Approved,2025-09
RET-00239,ORD-002389,PRD-0066,2026-03-16,5,Excess Quantity,23850.0,Approved,2026-03
RET-00240,ORD-002389,PRD-0069,2026-03-14,3,Damaged in Transit,118845.0,Completed,2026-03
RET-00241,ORD-002401,PRD-0053,2025-08-11,2,Excess Quantity,95475.0,Completed,2025-08
RET-00242,ORD-002401,PRD-0005,2025-08-02,4,Incorrect Item,41400.0,Completed,2025-08
RET-00243,ORD-002431,PRD-0066,2026-04-14,16,Excess Quantity,80560.0,Completed,2026-04
RET-00244,ORD-002439,PRD-0034,2026-07-25,1,Defective Product,2730.0,Completed,2026-07
RET-00245,ORD-002443,PRD-0032,2026-09-01,13,Excess Quantity,4734372.5,Completed,2026-09
RET-00246,ORD-002443,PRD-0037,2026-09-01,38,Excess Quantity,283432.5,Completed,2026-09
RET-00247,ORD-002507,PRD-0006,2026-01-28,2,Damaged in Transit,52650.0,Approved,2026-01
RET-00248,ORD-002507,PRD-0030,2026-02-04,25,Incorrect Item,851437.5,Approved,2026-02
RET-00249,ORD-002510,PRD-0032,2026-01-05,5,Quality Issue,1677156.25,Approved,2026-01
RET-00250,ORD-002510,PRD-0070,2025-12-21,9,Damaged in Transit,45900.0,Approved,2025-12
RET-00251,ORD-002519,PRD-0006,2026-01-14,13,Customer Requirement Changed,307125.0,Approved,2026-01
RET-00252,ORD-002519,PRD-0009,2026-01-18,5,Damaged in Transit,375250.0,Completed,2026-01
RET-00253,ORD-002519,PRD-0037,2026-01-10,24,Customer Requirement Changed,174420.0,Completed,2026-01
RET-00254,ORD-002519,PRD-0069,2026-02-02,16,Quality Issue,650520.0,Approved,2026-02
RET-00255,ORD-002519,PRD-0066,2026-01-25,35,Defective Product,180862.5,Completed,2026-01
RET-00256,ORD-002564,PRD-0014,2026-04-29,2,Damaged in Transit,369537.5,Completed,2026-04
RET-00257,ORD-002576,PRD-0009,2025-05-09,6,Customer Requirement Changed,450300.0,Completed,2025-05
RET-00258,ORD-002582,PRD-0007,2026-08-19,8,Customer Requirement Changed,232750.0,Completed,2026-08
RET-00259,ORD-002585,PRD-0050,2026-05-27,7,Quality Issue,7350.0,Completed,2026-05
RET-00260,ORD-002622,PRD-0005,2026-04-19,12,Customer Requirement Changed,124200.0,Completed,2026-04
RET-00261,ORD-002622,PRD-0030,2026-04-09,12,Quality Issue,387180.0,Completed,2026-04
RET-00262,ORD-002622,PRD-0015,2026-04-04,5,Defective Product,96500.0,Completed,2026-04
RET-00263,ORD-002622,PRD-0063,2026-04-02,44,Damaged in Transit,556600.0,Completed,2026-04
RET-00264,ORD-002622,PRD-0052,2026-04-07,14,Incorrect Item,523180.0,Completed,2026-04
RET-00265,ORD-002622,PRD-0031,2026-04-14,7,Defective Product,9800.0,Completed,2026-04
RET-00266,ORD-002622,PRD-0050,2026-04-15,14,Defective Product,15960.0,Approved,2026-04
RET-00267,ORD-002642,PRD-0058,2026-09-01,1,Quality Issue,25946.25,Completed,2026-09
RET-00268,ORD-002653,PRD-0034,2026-05-26,3,Customer Requirement Changed,7770.0,Completed,2026-05
RET-00269,ORD-002653,PRD-0023,2026-05-29,5,Quality Issue,203875.0,Approved,2026-05
RET-00270,ORD-002682,PRD-0050,2025-10-26,6,Quality Issue,6660.0,Approved,2025-10
RET-00271,ORD-002682,PRD-0056,2025-11-11,1,Incorrect Item,16900.0,Completed,2025-11
RET-00272,ORD-002697,PRD-0009,2026-03-08,23,Damaged in Transit,1553535.0,Approved,2026-03
