movement_id,product_id,movement_date,movement_type,quantity_change,reference_type,reference_id
MOV-0000133,PRD-0023,2025-06-09,SALE,-17,Order,ORD-000020
MOV-0000134,PRD-0005,2025-06-09,SALE,-52,Order,ORD-000020
MOV-0000135,PRD-0069,2025-03-15,SALE,-7,Order,ORD-000021
MOV-0000136,PRD-0034,2025-03-15,SALE,-9,Order,ORD-000021
MOV-0000137,PRD-0045,2025-03-15,SALE,-25,Order,ORD-000021
MOV-0000138,PRD-0040,2025-03-15,SALE,-9,Order,ORD-000021
MOV-0000139,PRD-0007,2025-03-15,SALE,-9,Order,ORD-000021
MOV-0000140,PRD-0034,2025-10-06,SALE,-11,Order,ORD-000022
MOV-0000141,PRD-0033,2025-10-06,SALE,-14,Order,ORD-000022
MOV-0000142,PRD-0003,2026-01-01,SALE,-1,Order,ORD-000024
MOV-0000143,PRD-0001,2026-01-01,SALE,-1,Order,ORD-000024
MOV-0000144,PRD-0031,2026-01-01,SALE,-13,Order,ORD-000024
MOV-0000145,PRD-0031,2026-06-13,SALE,-31,Order,ORD-000025
MOV-0000146,PRD-0026,2026-06-13,SALE,-66,Order,ORD-000025
MOV-0000147,PRD-0007,2026-06-13,SALE,-23,Order,ORD-000025
MOV-0000148,PRD-0045,2026-06-13,SALE,-27,Order,ORD-000025
MOV-0000149,PRD-0059,2026-06-13,SALE,-12,Order,ORD-000025
MOV-0000150,PRD-0007,2025-10-05,SALE,-3,Order,ORD-000026
MOV-0000151,PRD-0001,2025-10-05,SALE,-14,Order,ORD-000026
MOV-0000152,PRD-0063,2025-10-05,SALE,-52,Order,ORD-000026
MOV-0000153,PRD-0038,2025-10-05,SALE,-16,Order,ORD-000026
MOV-0000154,PRD-0066,2025-10-05,SALE,-11,Order,ORD-000026
MOV-0000155,PRD-0006,2025-10-05,SALE,-5,Order,ORD-000026
MOV-0000156,PRD-0040,2025-10-05,SALE,-5,Order,ORD-000026
MOV-0000157,PRD-0032,2026-05-11,SALE,-5,Order,ORD-000028
MOV-0000158,PRD-0020,2026-05-11,SALE,-7,Order,ORD-000028
MOV-0000159,PRD-0017,2026-05-11,SALE,-2,Order,ORD-000028
MOV-0000160,PRD-0049,2026-05-11,SALE,-32,Order,ORD-000028
MOV-0000161,PRD-0007,2025-07-02,SALE,-3,Order,ORD-000029
MOV-0000162,PRD-0069,2025-07-02,SALE,-16,Order,ORD-000029
MOV-0000163,PRD-0035,2025-04-03,SALE,-13,Order,ORD-000030
MOV-0000164,PRD-0040,2025-04-03,SALE,-16,Order,ORD-000030
MOV-0000165,PRD-0031,2025-04-03,SALE,-37,Order,ORD-000030
MOV-0000166,PRD-0063,2025-04-03,SALE,-53,Order,ORD-000030
MOV-0000167,PRD-0027,2025-04-03,SALE,-58,Order,ORD-000030
MOV-0000168,PRD-0015,2026-06-13,SALE,-2,Order,ORD-000031
MOV-0000169,PRD-0010,2026-06-13,SALE,-3,Order,ORD-000031
MOV-0000170,PRD-0058,2026-06-13,SALE,-1,Order,ORD-000031
MOV-0000171,PRD-0007,2026-06-13,SALE,-1,Order,ORD-000031
MOV-0000172,PRD-0009,2025-08-02,SALE,-10,Order,ORD-000032
MOV-0000173,PRD-0060,2025-08-02,SALE,-7,Order,ORD-000032
MOV-0000174,PRD-0005,2026-01-30,SALE,-10,Order,ORD-000033
MOV-0000175,PRD-0030,2026-01-30,SALE,-13,Order,ORD-000033
MOV-0000176,PRD-0066,2025-12-09,SALE,-18,Order,ORD-000034
MOV-0000177,PRD-0016,2025-12-09,SALE,-11,Order,ORD-000034
MOV-0000178,PRD-0006,2025-12-09,SALE,-21,Order,ORD-000034
MOV-0000179,PRD-0034,2025-12-09,SALE,-11,Order,ORD-000034
MOV-0000180,PRD-0033,2025-11-25,SALE,-3,Order,ORD-000035
MOV-0000181,PRD-0006,2025-11-25,SALE,-4,Order,ORD-000035
MOV-0000182,PRD-0065,2025-11-25,SALE,-12,Order,ORD-000035
MOV-0000183,PRD-0069,2025-06-23,SALE,-11,Order,ORD-000038
MOV-0000184,PRD-0045,2025-06-23,SALE,-37,Order,ORD-000038
MOV-0000185,PRD-0014,2025-06-23,SALE,-11,Order,ORD-000038
MOV-0000186,PRD-0005,2025-06-23,SALE,-33,Order,ORD-000038
MOV-0000187,PRD-0066,2025-11-28,SALE,-22,Order,ORD-000039
MOV-0000188,PRD-0034,2026-03-06,SALE,-20,Order,ORD-000040
MOV-0000189,PRD-0011,2026-03-06,SALE,-14,Order,ORD-000040
MOV-0000190,PRD-0053,2025-09-11,SALE,-20,Order,ORD-000041
MOV-0000191,PRD-0061,2025-09-11,SALE,-16,Order,ORD-000041
MOV-0000192,PRD-0040,2025-09-11,SALE,-16,Order,ORD-000041
MOV-0000193,PRD-0022,2025-09-11,SALE,-24,Order,ORD-000041
MOV-0000194,PRD-0039,2025-09-11,SALE,-53,Order,ORD-000041
MOV-0000195,PRD-0021,2026-05-05,SALE,-7,Order,ORD-000042
MOV-0000196,PRD-0069,2026-05-05,SALE,-1,Order,ORD-000042
MOV-0000197,PRD-0022,2026-04-22,SALE,-1,Order,ORD-000044
MOV-0000198,PRD-0066,2026-04-22,SALE,-16,Order,ORD-000044
MOV-0000199,PRD-0063,2026-04-22,SALE,-19,Order,ORD-000044
MOV-0000200,PRD-0036,2026-03-07,SALE,-15,Order,ORD-000045
MOV-0000201,PRD-0007,2026-03-07,SALE,-4,Order,ORD-000045
MOV-0000202,PRD-0065,2026-03-07,SALE,-11,Order,ORD-000045
MOV-0000203,PRD-0030,2026-03-07,SALE,-26,Order,ORD-000045
MOV-0000204,PRD-0061,2026-03-07,SALE,-26,Order,ORD-000045
MOV-0000205,PRD-0066,2026-03-07,SALE,-53,Order,ORD-000045
MOV-0000206,PRD-0037,2025-09-15,SALE,-9,Order,ORD-000046
MOV-0000207,PRD-0058,2025-05-19,SALE,-4,Order,ORD-000047
MOV-0000208,PRD-0026,2025-05-19,SALE,-42,Order,ORD-000047
MOV-0000209,PRD-0045,2025-05-19,SALE,-7,Order,ORD-000047
MOV-0000210,PRD-0048,2026-08-02,SALE,-8,Order,ORD-000048
MOV-0000211,PRD-0069,2026-08-02,SALE,-12,Order,ORD-000048
MOV-0000212,PRD-0066,2026-08-02,SALE,-14,Order,ORD-000048
MOV-0000213,PRD-0050,2026-08-02,SALE,-16,Order,ORD-000048
MOV-0000214,PRD-0053,2026-08-02,SALE,-10,Order,ORD-000048
MOV-0000215,PRD-0005,2025-03-11,SALE,-10,Order,ORD-000049
MOV-0000216,PRD-0036,2025-03-11,SALE,-1,Order,ORD-000049
MOV-0000217,PRD-0033,2025-03-11,SALE,-1,Order,ORD-000049
MOV-0000218,PRD-0069,2025-04-05,SALE,-13,Order,ORD-000050
MOV-0000219,PRD-0032,2025-04-05,SALE,-3,Order,ORD-000050
MOV-0000220,PRD-0053,2025-04-05,SALE,-10,Order,ORD-000050
MOV-0000221,PRD-0042,2025-04-05,SALE,-40,Order,ORD-000050
MOV-0000222,PRD-0021,2025-04-05,SALE,-10,Order,ORD-000050
MOV-0000223,PRD-0048,2025-03-29,SALE,-7,Order,ORD-000051
MOV-0000224,PRD-0026,2025-03-29,SALE,-32,Order,ORD-000051
MOV-0000225,PRD-0021,2025-03-29,SALE,-7,Order,ORD-000051
MOV-0000226,PRD-0040,2025-03-29,SALE,-22,Order,ORD-000051
MOV-0000227,PRD-0032,2025-03-29,SALE,-11,Order,ORD-000051
MOV-0000228,PRD-0049,2025-09-09,SALE,-16,Order,ORD-000052
MOV-0000229,PRD-0050,2025-09-09,SALE,-7,Order,ORD-000052
MOV-0000230,PRD-0053,2025-09-09,SALE,-3,Order,ORD-000052
MOV-0000231,PRD-0066,2025-11-20,SALE,-46,Order,ORD-000053
MOV-0000232,PRD-0053,2025-11-20,SALE,-7,Order,ORD-000053
MOV-0000233,PRD-0014,2025-11-20,SALE,-20,Order,ORD-000053
MOV-0000234,PRD-0007,2025-11-20,SALE,-20,Order,ORD-000053
MOV-0000235,PRD-0034,2025-11-20,SALE,-17,Order,ORD-000053
MOV-0000236,PRD-0032,2026-06-12,SALE,-10,Order,ORD-000054
MOV-0000237,PRD-0066,2026-06-12,SALE,-29,Order,ORD-000054
MOV-0000238,PRD-0007,2026-06-12,SALE,-16,Order,ORD-000054
MOV-0000239,PRD-0034,2026-06-12,SALE,-7,Order,ORD-000054
MOV-0000240,PRD-0005,2026-06-12,SALE,-29,Order,ORD-000054
MOV-0000241,PRD-0028,2026-06-12,SALE,-23,Order,ORD-000054
MOV-0000242,PRD-0060,2026-06-12,SALE,-16,Order,ORD-000054
MOV-0000243,PRD-0066,2025-06-30,SALE,-4,Order,ORD-000055
MOV-0000244,PRD-0011,2025-06-30,SALE,-1,Order,ORD-000055
MOV-0000245,PRD-0024,2025-06-30,SALE,-22,Order,ORD-000055
MOV-0000246,PRD-0052,2026-03-13,SALE,-2,Order,ORD-000056
MOV-0000247,PRD-0036,2026-03-13,SALE,-10,Order,ORD-000056
MOV-0000248,PRD-0066,2025-04-29,SALE,-33,Order,ORD-000057
MOV-0000249,PRD-0030,2025-04-29,SALE,-13,Order,ORD-000057
MOV-0000250,PRD-0034,2025-04-29,SALE,-10,Order,ORD-000057
MOV-0000251,PRD-0008,2025-04-29,SALE,-5,Order,ORD-000057
MOV-0000252,PRD-0029,2025-11-15,SALE,-6,Order,ORD-000058
MOV-0000253,PRD-0007,2025-11-15,SALE,-7,Order,ORD-000058
MOV-0000254,PRD-0032,2025-11-15,SALE,-6,Order,ORD-000058
MOV-0000255,PRD-0001,2025-11-15,SALE,-2,Order,ORD-000058
MOV-0000256,PRD-0027,2025-05-28,SALE,-32,Order,ORD-000059
MOV-0000257,PRD-0069,2025-05-28,SALE,-7,Order,ORD-000059
MOV-0000258,PRD-0032,2025-05-28,SALE,-21,Order,ORD-000059
MOV-0000259,PRD-0039,2026-06-11,SALE,-18,Order,ORD-000060
MOV-0000260,PRD-0005,2026-06-11,SALE,-32,Order,ORD-000060
MOV-0000261,PRD-0026,2026-06-11,SALE,-35,Order,ORD-000060
MOV-0000262,PRD-0032,2025-09-10,SALE,-2,Order,ORD-000061
MOV-0000263,PRD-0011,2025-09-10,SALE,-4,Order,ORD-000061
MOV-0000264,PRD-0048,2025-09-10,SALE,-8,Order,ORD-000061
MOV-0000265,PRD-0052,2025-09-10,SALE,-6,Order,ORD-000061
MOV-0000266,PRD-0014,2025-09-10,SALE,-10,Order,ORD-000061
MOV-0000267,PRD-0070,2025-09-10,SALE,-25,Order,ORD-000061
MOV-0000268,PRD-0043,2025-09-10,SALE,-11,Order,ORD-000061
MOV-0000269,PRD-0013,2026-05-07,SALE,-36,Order,ORD-000062
MOV-0000270,PRD-0056,2026-05-07,SALE,-2,Order,ORD-000062
MOV-0000271,PRD-0036,2026-05-07,SALE,-2,Order,ORD-000062
MOV-0000272,PRD-0060,2025-06-11,SALE,-2,Order,ORD-000063
MOV-0000273,PRD-0052,2025-06-11,SALE,-2,Order,ORD-000063
MOV-0000274,PRD-0007,2025-09-15,SALE,-11,Order,ORD-000064
MOV-0000275,PRD-0049,2025-09-15,SALE,-21,Order,ORD-000064
MOV-0000276,PRD-0005,2025-09-15,SALE,-15,Order,ORD-000064
MOV-0000277,PRD-0034,2025-09-15,SALE,-11,Order,ORD-000064
MOV-0000278,PRD-0066,2026-04-08,SALE,-13,Order,ORD-000067
MOV-0000279,PRD-0016,2026-04-08,SALE,-7,Order,ORD-000067
MOV-0000280,PRD-0052,2026-04-08,SALE,-9,Order,ORD-000067
MOV-0000281,PRD-0027,2026-04-08,SALE,-9,Order,ORD-000067
MOV-0000282,PRD-0069,2026-08-10,SALE,-9,Order,ORD-000069
MOV-0000283,PRD-0032,2026-08-10,SALE,-3,Order,ORD-000069
MOV-0000284,PRD-0028,2026-08-10,SALE,-28,Order,ORD-000069
MOV-0000285,PRD-0058,2026-08-10,SALE,-12,Order,ORD-000069
MOV-0000286,PRD-0009,2026-08-10,SALE,-3,Order,ORD-000069
MOV-0000287,PRD-0030,2026-08-10,SALE,-40,Order,ORD-000069
MOV-0000288,PRD-0004,2026-08-10,SALE,-25,Order,ORD-000069
MOV-0000289,PRD-0064,2026-07-28,SALE,-5,Order,ORD-000070
MOV-0000290,PRD-0028,2026-07-28,SALE,-7,Order,ORD-000070
MOV-0000291,PRD-0054,2026-07-28,SALE,-3,Order,ORD-000070
MOV-0000292,PRD-0034,2026-07-28,SALE,-5,Order,ORD-000070
MOV-0000293,PRD-0005,2026-07-28,SALE,-15,Order,ORD-000070
MOV-0000294,PRD-0050,2025-04-28,SALE,-22,Order,ORD-000071
MOV-0000295,PRD-0069,2025-06-17,SALE,-23,Order,ORD-000072
MOV-0000296,PRD-0010,2025-06-17,SALE,-12,Order,ORD-000072
MOV-0000297,PRD-0033,2025-06-17,SALE,-8,Order,ORD-000072
MOV-0000298,PRD-0037,2025-06-17,SALE,-66,Order,ORD-000072
MOV-0000299,PRD-0034,2025-06-17,SALE,-23,Order,ORD-000072
MOV-0000300,PRD-0023,2025-06-17,SALE,-8,Order,ORD-000072
MOV-0000301,PRD-0005,2025-06-17,SALE,-23,Order,ORD-000072
MOV-0000302,PRD-0069,2025-12-10,SALE,-5,Order,ORD-000073
MOV-0000303,PRD-0023,2025-12-10,SALE,-8,Order,ORD-000073
MOV-0000304,PRD-0070,2025-12-10,SALE,-14,Order,ORD-000073
MOV-0000305,PRD-0066,2025-09-06,SALE,-22,Order,ORD-000074
MOV-0000306,PRD-0058,2025-09-06,SALE,-22,Order,ORD-000074
MOV-0000307,PRD-0026,2025-09-06,SALE,-59,Order,ORD-000074
MOV-0000308,PRD-0036,2025-09-06,SALE,-4,Order,ORD-000074
MOV-0000309,PRD-0065,2025-09-06,SALE,-15,Order,ORD-000074
MOV-0000310,PRD-0032,2026-05-05,SALE,-12,Order,ORD-000075
MOV-0000311,PRD-0037,2026-05-05,SALE,-40,Order,ORD-000075
MOV-0000312,PRD-0021,2026-05-05,SALE,-9,Order,ORD-000075
MOV-0000313,PRD-0043,2026-05-05,SALE,-3,Order,ORD-000075
MOV-0000314,PRD-0057,2026-05-05,SALE,-3,Order,ORD-000075
MOV-0000315,PRD-0023,2026-05-05,SALE,-15,Order,ORD-000075
MOV-0000316,PRD-0065,2026-05-05,SALE,-25,Order,ORD-000075
MOV-0000317,PRD-0006,2025-07-11,SALE,-11,Order,ORD-000077
MOV-0000318,PRD-0055,2025-07-11,SALE,-11,Order,ORD-000077
MOV-0000319,PRD-0064,2026-02-01,SALE,-4,Order,ORD-000078
MOV-0000320,PRD-0034,2025-04-07,SALE,-9,Order,ORD-000079
MOV-0000321,PRD-0060,2025-04-07,SALE,-6,Order,ORD-000079
MOV-0000322,PRD-0029,2025-04-07,SALE,-13,Order,ORD-000079
MOV-0000323,PRD-0027,2025-10-18,SALE,-12,Order,ORD-000080
MOV-0000324,PRD-0005,2025-10-18,SALE,-7,Order,ORD-000080
MOV-0000325,PRD-0053,2025-10-18,SALE,-9,Order,ORD-000080
MOV-0000326,PRD-0009,2025-10-18,SALE,-9,Order,ORD-000080
MOV-0000327,PRD-0055,2026-01-20,SALE,-2,Order,ORD-000081
MOV-0000328,PRD-0063,2026-01-20,SALE,-9,Order,ORD-000081
MOV-0000329,PRD-0034,2026-01-20,SALE,-5,Order,ORD-000081
MOV-0000330,PRD-0005,2026-01-20,SALE,-7,Order,ORD-000081
MOV-0000331,PRD-0009,2025-10-02,SALE,-5,Order,ORD-000082
MOV-0000332,PRD-0060,2025-10-02,SALE,-12,Order,ORD-000082
MOV-0000333,PRD-0037,2025-10-02,SALE,-17,Order,ORD-000082
MOV-0000334,PRD-0030,2025-10-02,SALE,-37,Order,ORD-000082
MOV-0000335,PRD-0007,2025-10-02,SALE,-5,Order,ORD-000082
MOV-0000336,PRD-0022,2026-06-18,SALE,-9,Order,ORD-000083
MOV-0000337,PRD-0066,2026-06-18,SALE,-19,Order,ORD-000083
MOV-0000338,PRD-0032,2026-06-18,SALE,-3,Order,ORD-000083
MOV-0000339,PRD-0058,2026-06-18,SALE,-10,Order,ORD-000083
MOV-0000340,PRD-0055,2026-06-18,SALE,-10,Order,ORD-000083
MOV-0000341,PRD-0022,2026-07-16,SALE,-11,Order,ORD-000084
MOV-0000342,PRD-0010,2026-07-16,SALE,-4,Order,ORD-000084
MOV-0000343,PRD-0045,2026-07-16,SALE,-24,Order,ORD-000084
MOV-0000344,PRD-0060,2026-07-16,SALE,-4,Order,ORD-000084
MOV-0000345,PRD-0005,2025-09-08,SALE,-26,Order,ORD-000085
MOV-0000346,PRD-0023,2025-09-08,SALE,-6,Order,ORD-000085
MOV-0000347,PRD-0051,2025-09-08,SALE,-39,Order,ORD-000085
MOV-0000348,PRD-0067,2026-07-13,SALE,-7,Order,ORD-000086
MOV-0000349,PRD-0035,2026-07-13,SALE,-1,Order,ORD-000086
