order_id,customer_id,order_date,required_date,shipped_date,delivered_date,order_status,sales_channel,payment_terms_days,subtotal,tax_amount,shipping_amount,total_amount,total_cost,gross_profit,delivery_status,delivery_delay_days,delivery_lead_time_days,is_overdue_open_order
ORD-000018,CUS-0001,2025-10-25,2025-11-05,,,Processing,Phone / WhatsApp,45,2600166.25,468029.92,0.0,3068196.17,2042450.0,557716.25,Overdue Open Order,300,,True
ORD-000019,CUS-0067,2025-10-06,2025-10-18,2025-10-07,2025-10-11,Delivered,Direct Sales,60,1385238.75,249342.97,0.0,1634581.73,1055300.0,329938.75,On Time,0,5.0,False
ORD-000020,CUS-0039,2025-06-04,2025-06-15,2025-06-09,2025-06-10,Delivered,Direct Sales,30,3644745.0,656054.1,0.0,4300799.1,2720250.0,924495.0,On Time,0,6.0,False
ORD-000021,CUS-0067,2025-03-11,2025-03-23,2025-03-15,2025-03-18,Delivered,Direct Sales,60,1254268.75,225768.38,0.0,1480037.12,956650.0,297618.75,On Time,0,7.0,False
ORD-000022,CUS-0076,2025-10-04,2025-10-16,2025-10-06,2025-10-07,Delivered,Direct Sales,45,1200990.0,216178.2,0.0,1417168.2,947050.0,253940.0,On Time,0,3.0,False
ORD-000023,CUS-0064,2025-12-16,2025-12-25,,,Processing,Website,30,145170.0,26130.6,0.0,171300.6,101050.0,44120.0,Overdue Open Order,250,,True
ORD-000024,CUS-0060,2025-12-26,2026-01-05,2026-01-01,2026-01-06,Delivered,Direct Sales,15,157580.0,28364.4,0.0,185944.4,111850.0,45730.0,Delayed,1,11.0,False
ORD-000025,CUS-0011,2026-06-08,2026-06-18,2026-06-13,2026-06-14,Delivered,Phone / WhatsApp,60,1223211.25,220178.02,0.0,1443389.27,862500.0,360711.25,On Time,0,6.0,False
ORD-000026,CUS-0036,2025-09-30,2025-10-12,2025-10-05,,Shipped,Phone / WhatsApp,45,2401388.75,432249.97,0.0,2833638.73,1723600.0,677788.75,Overdue Open Order,324,,True
ORD-000027,CUS-0053,2026-03-12,2026-03-19,,,Confirmed,Corporate Account,45,2166112.5,389900.25,0.0,2556012.75,1578650.0,587462.5,Overdue Open Order,166,,True
ORD-000028,CUS-0058,2026-05-06,2026-05-19,2026-05-11,2026-05-15,Delivered,Direct Sales,45,2136280.0,384530.4,0.0,2520810.4,1748000.0,388280.0,On Time,0,9.0,False
ORD-000029,CUS-0096,2025-06-25,2025-07-03,2025-07-02,2025-07-06,Delivered,Corporate Account,30,723615.0,130250.7,0.0,853865.7,555900.0,167715.0,Delayed,3,11.0,False
ORD-000030,CUS-0034,2025-03-27,2025-04-07,2025-04-03,,Shipped,Corporate Account,30,4708515.0,847532.7,0.0,5556047.7,3608750.0,1099765.0,Overdue Open Order,512,,True
ORD-000031,CUS-0003,2026-06-06,2026-06-20,2026-06-13,2026-06-15,Delivered,Corporate Account,15,232857.5,41914.35,0.0,274771.85,181500.0,51357.5,On Time,0,9.0,False
ORD-000032,CUS-0004,2025-07-26,2025-08-01,2025-08-02,2025-08-03,Delivered,Tender,30,857013.75,154262.48,0.0,1011276.22,638050.0,218963.75,Delayed,2,8.0,False
ORD-000033,CUS-0093,2026-01-28,2026-02-02,2026-01-30,2026-02-01,Delivered,Website,30,572425.0,103036.5,0.0,675461.5,411150.0,161275.0,On Time,0,4.0,False
ORD-000034,CUS-0050,2025-12-07,2025-12-13,2025-12-09,2025-12-13,Delivered,Corporate Account,60,857183.75,154293.07,0.0,1011476.82,631200.0,225983.75,On Time,0,6.0,False
ORD-000035,CUS-0077,2025-11-22,2025-12-07,2025-11-25,2025-11-29,Returned,Corporate Account,15,453585.0,81645.3,0.0,535230.3,347250.0,106335.0,On Time,0,7.0,False
ORD-000036,CUS-0055,2026-07-31,2026-08-07,,,Cancelled,Direct Sales,60,2093757.5,376876.35,0.0,2470633.85,1503900.0,589857.5,Cancelled,0,,False
ORD-000037,CUS-0058,2026-06-13,2026-06-17,,,Confirmed,Phone / WhatsApp,45,380745.0,68534.1,0.0,449279.1,293500.0,87245.0,Overdue Open Order,76,,True
ORD-000038,CUS-0043,2025-06-17,2025-06-23,2025-06-23,,Shipped,Direct Sales,45,3057202.5,550296.45,0.0,3607498.95,2308550.0,748652.5,Overdue Open Order,435,,True
ORD-000039,CUS-0010,2025-11-26,2025-12-03,2025-11-28,2025-12-02,Delivered,Corporate Account,30,110770.0,19938.6,0.0,130708.6,71500.0,39270.0,On Time,0,6.0,False
ORD-000040,CUS-0055,2026-03-03,2026-03-13,2026-03-06,2026-03-11,Delivered,Phone / WhatsApp,60,684950.0,123291.0,0.0,808241.0,536300.0,148650.0,On Time,0,8.0,False
ORD-000041,CUS-0002,2025-09-10,2025-09-16,2025-09-11,2025-09-16,Delivered,Direct Sales,60,3047050.0,548469.0,0.0,3595519.0,2282300.0,764750.0,On Time,0,6.0,False
ORD-000042,CUS-0004,2026-04-29,2026-05-11,2026-05-05,,Shipped,Direct Sales,30,1045337.5,188160.75,0.0,1233498.25,798550.0,246787.5,Overdue Open Order,113,,True
ORD-000043,CUS-0024,2025-03-30,2025-04-03,,,Pending,Phone / WhatsApp,60,1539671.25,277140.83,0.0,1816812.07,1146400.0,393271.25,Overdue Open Order,516,,True
ORD-000044,CUS-0032,2026-04-17,2026-04-24,2026-04-22,2026-04-25,Delivered,Website,30,323567.5,58242.15,0.0,381809.65,213250.0,110317.5,Delayed,1,8.0,False
ORD-000045,CUS-0005,2026-03-06,2026-03-11,2026-03-07,2026-03-09,Delivered,Direct Sales,30,4093807.5,736885.35,0.0,4830692.85,2932800.0,1161007.5,On Time,0,3.0,False
ORD-000046,CUS-0087,2025-09-11,2025-09-16,2025-09-15,2025-09-19,Delivered,Direct Sales,30,68850.0,12393.0,3000.0,84243.0,49500.0,19350.0,Delayed,3,8.0,False
ORD-000047,CUS-0069,2025-05-12,2025-05-21,2025-05-19,2025-05-22,Delivered,Phone / WhatsApp,30,342340.0,61621.2,0.0,403961.2,225500.0,116840.0,Delayed,1,10.0,False
ORD-000048,CUS-0036,2026-08-01,2026-08-09,2026-08-02,2026-08-07,Delivered,Tender,45,2274060.0,409330.8,0.0,2683390.8,1723700.0,550360.0,On Time,0,6.0,False
ORD-000049,CUS-0060,2025-03-05,2025-03-09,2025-03-11,2025-03-13,Delivered,Direct Sales,15,354482.5,63806.85,0.0,418289.35,268200.0,86282.5,Delayed,4,8.0,False
ORD-000050,CUS-0075,2025-03-29,2025-04-08,2025-04-05,2025-04-07,Delivered,Direct Sales,30,4130788.75,743541.97,0.0,4874330.72,3231500.0,899288.75,On Time,0,9.0,False
ORD-000051,CUS-0113,2025-03-22,2025-03-27,2025-03-29,2025-04-03,Delivered,Direct Sales,60,7909703.75,1423746.68,0.0,9333450.43,6143300.0,1766403.75,Delayed,7,12.0,False
ORD-000052,CUS-0061,2025-09-02,2025-09-06,2025-09-09,2025-09-11,Delivered,Direct Sales,30,185812.5,33446.25,0.0,219258.75,135850.0,49962.5,Delayed,5,9.0,False
ORD-000053,CUS-0095,2025-11-18,2025-11-26,2025-11-20,2025-11-22,Delivered,Direct Sales,45,5033725.0,906070.5,0.0,5939795.5,3834650.0,1199075.0,On Time,0,4.0,False
ORD-000054,CUS-0035,2026-06-09,2026-06-16,2026-06-12,2026-06-15,Delivered,Direct Sales,30,5062330.0,911219.4,0.0,5973549.4,4046100.0,1016230.0,On Time,0,6.0,False
ORD-000055,CUS-0119,2025-06-27,2025-07-06,2025-06-30,2025-07-02,Delivered,Direct Sales,30,453435.0,81618.3,0.0,535053.3,320650.0,132785.0,On Time,0,5.0,False
ORD-000056,CUS-0028,2026-03-06,2026-03-13,2026-03-13,2026-03-15,Delivered,Corporate Account,30,1695915.0,305264.7,0.0,2001179.7,1287000.0,408915.0,Delayed,2,9.0,False
ORD-000057,CUS-0035,2025-04-25,2025-05-01,2025-04-29,2025-05-03,Delivered,Direct Sales,30,688227.5,123880.95,0.0,812108.45,494900.0,193327.5,Delayed,2,8.0,False
ORD-000058,CUS-0010,2025-11-12,2025-11-21,2025-11-15,,Shipped,Tender,30,2799712.5,503948.25,0.0,3303660.75,2200300.0,599412.5,Overdue Open Order,284,,True
ORD-000059,CUS-0043,2025-05-26,2025-06-03,2025-05-28,2025-05-30,Delivered,Direct Sales,45,7670961.25,1380773.02,0.0,9051734.28,6862200.0,808761.25,On Time,0,4.0,False
ORD-000060,CUS-0098,2026-06-08,2026-06-16,2026-06-11,2026-06-14,Delivered,Website,45,719786.25,129561.52,0.0,849347.78,523350.0,196436.25,On Time,0,6.0,False
ORD-000061,CUS-0001,2025-09-04,2025-09-11,2025-09-10,2025-09-12,Delivered,Direct Sales,45,4747835.0,854610.3,0.0,5602445.3,3699400.0,1048435.0,Delayed,1,8.0,False
ORD-000062,CUS-0055,2026-05-03,2026-05-08,2026-05-07,2026-05-10,Delivered,Direct Sales,60,629622.5,113332.05,0.0,742954.55,462300.0,167322.5,Delayed,2,7.0,False
ORD-000063,CUS-0045,2025-06-04,2025-06-09,2025-06-11,2025-06-12,Delivered,Corporate Account,60,113700.0,20466.0,0.0,134166.0,80800.0,32900.0,Delayed,3,8.0,False
ORD-000064,CUS-0012,2025-09-09,2025-09-15,2025-09-15,2025-09-16,Delivered,Corporate Account,30,595040.0,107107.2,0.0,702147.2,426750.0,168290.0,Delayed,1,7.0,False
ORD-000065,CUS-0032,2025-09-17,2025-09-28,,,Confirmed,Website,30,24618.75,4431.38,2000.0,31050.12,15250.0,9368.75,Overdue Open Order,338,,True
ORD-000066,CUS-0050,2026-03-24,2026-04-03,,,Processing,Corporate Account,60,1963720.0,353469.6,0.0,2317189.6,1414200.0,549520.0,Overdue Open Order,151,,True
ORD-000067,CUS-0057,2026-04-07,2026-04-21,2026-04-08,2026-04-12,Delivered,Direct Sales,30,632336.25,113820.52,0.0,746156.78,460600.0,171736.25,On Time,0,5.0,False
ORD-000068,CUS-0052,2026-01-24,2026-02-05,,,Pending,Corporate Account,45,427796.25,77003.32,0.0,504799.58,326300.0,101496.25,Overdue Open Order,208,,True
ORD-000069,CUS-0064,2026-08-06,2026-08-12,2026-08-10,2026-08-12,Delivered,Corporate Account,30,3609605.0,649728.9,0.0,4259333.9,2845800.0,763805.0,On Time,0,6.0,False
ORD-000070,CUS-0083,2026-07-24,2026-08-03,2026-07-28,2026-08-01,Delivered,Direct Sales,30,425682.5,76622.85,0.0,502305.35,312400.0,113282.5,On Time,0,8.0,False
ORD-000071,CUS-0083,2025-04-26,2025-05-10,2025-04-28,2025-04-30,Delivered,Corporate Account,30,26400.0,4752.0,2500.0,33652.0,14300.0,12100.0,On Time,0,4.0,False
ORD-000072,CUS-0055,2025-06-11,2025-06-18,2025-06-17,2025-06-19,Delivered,Phone / WhatsApp,60,3230242.5,581443.65,0.0,3811686.15,2533750.0,696492.5,Delayed,1,8.0,False
ORD-000073,CUS-0098,2025-12-04,2025-12-10,2025-12-10,2025-12-11,Delivered,Phone / WhatsApp,45,638705.0,114966.9,0.0,753671.9,469300.0,169405.0,Delayed,1,7.0,False
ORD-000074,CUS-0024,2025-08-31,2025-09-08,2025-09-06,,Shipped,Phone / WhatsApp,60,1712121.25,308181.83,0.0,2020303.07,1257750.0,454371.25,Overdue Open Order,358,,True
ORD-000075,CUS-0044,2026-05-04,2026-05-09,2026-05-05,2026-05-08,Delivered,Direct Sales,60,6826312.5,1228736.25,0.0,8055048.75,5658950.0,1167362.5,On Time,0,4.0,False
ORD-000076,CUS-0117,2026-07-10,2026-07-25,,,Confirmed,Website,30,1038248.75,186884.77,0.0,1225133.52,721700.0,316548.75,Overdue Open Order,38,,True
ORD-000077,CUS-0094,2025-07-08,2025-07-19,2025-07-11,2025-07-14,Delivered,Website,45,749760.0,134956.8,0.0,884716.8,561550.0,188210.0,On Time,0,6.0,False
ORD-000078,CUS-0084,2026-01-25,2026-01-29,2026-02-01,2026-02-05,Delivered,Corporate Account,30,152950.0,27531.0,0.0,180481.0,115400.0,37550.0,Delayed,7,11.0,False
ORD-000079,CUS-0045,2025-04-02,2025-04-10,2025-04-07,,Shipped,Direct Sales,60,479865.0,86375.7,0.0,566240.7,363200.0,116665.0,Overdue Open Order,509,,True
ORD-000080,CUS-0103,2025-10-11,2025-10-25,2025-10-18,,Shipped,Corporate Account,30,1220492.5,219688.65,0.0,1440181.15,972400.0,248092.5,Overdue Open Order,311,,True
ORD-000081,CUS-0106,2026-01-19,2026-01-27,2026-01-20,2026-01-23,Delivered,Corporate Account,15,270375.0,48667.5,0.0,319042.5,198350.0,72025.0,On Time,0,4.0,False
ORD-000082,CUS-0067,2025-09-27,2025-10-02,2025-10-02,,Shipped,Tender,60,2081310.0,374635.8,0.0,2455945.8,1571150.0,510160.0,Overdue Open Order,334,,True
ORD-000083,CUS-0038,2026-06-15,2026-06-20,2026-06-18,2026-06-19,Delivered,Corporate Account,45,1976638.75,355794.97,0.0,2332433.73,1570600.0,406038.75,On Time,0,4.0,False
ORD-000084,CUS-0088,2026-07-13,2026-07-28,2026-07-16,2026-07-20,Delivered,Website,30,511851.25,92133.22,0.0,603984.47,364150.0,147701.25,On Time,0,7.0,False
ORD-000085,CUS-0049,2025-09-01,2025-09-13,2025-09-08,2025-09-13,Delivered,Direct Sales,45,821040.0,147787.2,0.0,968827.2,598250.0,222790.0,On Time,0,12.0,False
ORD-000086,CUS-0003,2026-07-11,2026-07-26,2026-07-13,2026-07-15,Delivered,Corporate Account,15,204537.5,36816.75,0.0,241354.25,158000.0,46537.5,On Time,0,4.0,False
ORD-000087,CUS-0086,2025-12-21,2025-12-31,2025-12-26,2025-12-29,Returned,Website,15,508731.25,91571.62,0.0,600302.88,399500.0,109231.25,On Time,0,8.0,False
ORD-000088,CUS-0005,2025-10-01,2025-10-14,,,Processing,Corporate Account,30,2813060.0,506350.8,0.0,3319410.8,2085100.0,727960.0,Overdue Open Order,322,,True
ORD-000089,CUS-0039,2025-08-31,2025-09-14,2025-09-02,2025-09-07,Delivered,Corporate Account,30,2442387.5,439629.75,0.0,2882017.25,1942100.0,500287.5,On Time,0,7.0,False
ORD-000090,CUS-0099,2026-04-10,2026-04-18,2026-04-12,2026-04-13,Delivered,Website,15,984375.0,177187.5,0.0,1161562.5,775600.0,208775.0,On Time,0,3.0,False
ORD-000091,CUS-0069,2026-06-04,2026-06-18,2026-06-05,2026-06-08,Delivered,Website,30,252475.0,45445.5,0.0,297920.5,181550.0,70925.0,On Time,0,4.0,False
ORD-000092,CUS-0069,2026-06-19,2026-06-29,,,Processing,Corporate Account,30,977442.5,175939.65,0.0,1153382.15,719800.0,257642.5,Overdue Open Order,64,,True
ORD-000093,CUS-0055,2025-04-04,2025-04-14,2025-04-10,2025-04-11,Delivered,Tender,60,2371165.0,426809.7,0.0,2797974.7,1726200.0,644965.0,On Time,0,7.0,False
ORD-000094,CUS-0046,2025-08-05,2025-08-12,2025-08-10,2025-08-13,Delivered,Direct Sales,60,533375.0,96007.5,0.0,629382.5,389700.0,143675.0,Delayed,1,8.0,False
ORD-000095,CUS-0059,2025-10-17,2025-10-25,2025-10-19,2025-10-21,Delivered,Phone / WhatsApp,30,442980.0,79736.4,0.0,522716.4,326250.0,116730.0,On Time,0,4.0,False
ORD-000096,CUS-0054,2025-11-19,2025-11-28,2025-11-23,,Shipped,Phone / WhatsApp,15,108110.0,19459.8,0.0,127569.8,72600.0,35510.0,Overdue Open Order,277,,True
ORD-000097,CUS-0040,2026-03-25,2026-03-31,2026-03-28,,Shipped,Tender,30,316575.0,56983.5,0.0,373558.5,254100.0,62475.0,Overdue Open Order,154,,True
ORD-000098,CUS-0045,2026-08-06,2026-08-17,2026-08-09,2026-08-14,Delivered,Corporate Account,60,589840.0,106171.2,0.0,696011.2,395850.0,193990.0,On Time,0,8.0,False
ORD-000099,CUS-0118,2026-01-03,2026-01-14,2026-01-05,2026-01-07,Delivered,Corporate Account,30,375847.5,67652.55,0.0,443500.05,300700.0,75147.5,On Time,0,4.0,False
ORD-000100,CUS-0070,2026-06-05,2026-06-14,2026-06-11,2026-06-14,Delivered,Direct Sales,15,211890.0,38140.2,0.0,250030.2,140450.0,71440.0,On Time,0,9.0,False
ORD-000101,CUS-0047,2025-06-28,2025-07-04,2025-06-30,2025-07-05,Delivered,Corporate Account,30,3159447.5,568700.55,0.0,3728148.05,2582500.0,576947.5,Delayed,1,7.0,False
ORD-000102,CUS-0038,2025-11-05,2025-11-15,2025-11-06,2025-11-10,Delivered,Tender,45,708680.0,127562.4,0.0,836242.4,534350.0,174330.0,On Time,0,5.0,False
ORD-000103,CUS-0023,2025-05-20,2025-05-27,,,Confirmed,Direct Sales,15,478417.5,86115.15,0.0,564532.65,325150.0,153267.5,Overdue Open Order,462,,True
ORD-000104,CUS-0084,2025-05-18,2025-05-31,2025-05-22,2025-05-27,Delivered,Corporate Account,30,149857.5,26974.35,0.0,176831.85,94250.0,55607.5,On Time,0,9.0,False
ORD-000105,CUS-0064,2025-09-10,2025-09-15,2025-09-15,2025-09-16,Delivered,Tender,30,5808907.5,1045603.35,0.0,6854510.85,4403800.0,1405107.5,Delayed,1,6.0,False
ORD-000106,CUS-0001,2026-02-03,2026-02-08,2026-02-10,2026-02-13,Delivered,Direct Sales,45,3365946.25,605870.32,0.0,3971816.58,2370950.0,994996.25,Delayed,5,10.0,False
ORD-000107,CUS-0069,2025-10-02,2025-10-17,2025-10-08,2025-10-09,Delivered,Phone / WhatsApp,30,1229840.0,221371.2,0.0,1451211.2,949250.0,280590.0,On Time,0,7.0,False
ORD-000108,CUS-0030,2026-02-28,2026-03-08,,,Confirmed,Direct Sales,30,678382.5,122108.85,0.0,800491.35,504500.0,173882.5,Overdue Open Order,177,,True
ORD-000109,CUS-0044,2025-03-11,2025-03-26,2025-03-13,2025-03-17,Delivered,Website,60,903267.5,162588.15,0.0,1065855.65,626700.0,276567.5,On Time,0,6.0,False
ORD-000110,CUS-0113,2025-05-17,2025-05-26,,,Pending,Corporate Account,60,1443848.75,259892.77,0.0,1703741.52,913050.0,530798.75,Overdue Open Order,463,,True
ORD-000111,CUS-0042,2025-06-03,2025-06-16,2025-06-04,2025-06-06,Delivered,Corporate Account,30,410875.0,73957.5,0.0,484832.5,290400.0,120475.0,On Time,0,3.0,False
ORD-000112,CUS-0081,2025-03-25,2025-04-07,2025-03-31,2025-04-01,Delivered,Direct Sales,60,547750.0,98595.0,0.0,646345.0,390250.0,157500.0,On Time,0,7.0,False
ORD-000113,CUS-0002,2025-12-09,2025-12-16,2025-12-10,2025-12-14,Delivered,Phone / WhatsApp,60,2776266.25,499727.92,0.0,3275994.17,2137350.0,638916.25,On Time,0,5.0,False
ORD-000114,CUS-0048,2025-06-10,2025-06-15,2025-06-12,2025-06-17,Delivered,Corporate Account,30,1080296.25,194453.32,0.0,1274749.57,759200.0,321096.25,Delayed,2,7.0,False
ORD-000115,CUS-0055,2025-07-22,2025-07-31,2025-07-29,,Shipped,Phone / WhatsApp,60,2028337.5,365100.75,0.0,2393438.25,1413250.0,615087.5,Overdue Open Order,397,,True
ORD-000116,CUS-0063,2025-09-08,2025-09-22,2025-09-09,2025-09-14,Delivered,Website,30,5895977.5,1061275.95,0.0,6957253.45,4906950.0,989027.5,On Time,0,6.0,False
ORD-000117,CUS-0024,2026-05-10,2026-05-21,2026-05-17,2026-05-18,Delivered,Corporate Account,60,1329747.5,239354.55,0.0,1569102.05,1019000.0,310747.5,On Time,0,8.0,False
ORD-000118,CUS-0097,2026-03-24,2026-04-05,2026-03-28,2026-04-01,Delivered,Phone / WhatsApp,45,402432.5,72437.85,0.0,474870.35,307550.0,94882.5,On Time,0,8.0,False
ORD-000119,CUS-0003,2025-10-28,2025-11-07,2025-11-03,2025-11-06,Delivered,Phone / WhatsApp,15,8400.0,1512.0,2000.0,11912.0,5200.0,3200.0,On Time,0,9.0,False
ORD-000120,CUS-0053,2025-07-22,2025-08-03,2025-07-28,2025-07-31,Delivered,Direct Sales,45,1144803.75,206064.67,0.0,1350868.43,852750.0,292053.75,On Time,0,9.0,False
ORD-000121,CUS-0010,2026-07-29,2026-08-06,,,Confirmed,Corporate Account,30,735040.0,132307.2,0.0,867347.2,539400.0,195640.0,Overdue Open Order,26,,True
ORD-000122,CUS-0021,2025-11-21,2025-12-03,2025-11-25,,Shipped,Corporate Account,30,705090.0,126916.2,0.0,832006.2,509750.0,195340.0,Overdue Open Order,272,,True
ORD-000123,CUS-0056,2026-05-02,2026-05-10,2026-05-07,2026-05-11,Delivered,Corporate Account,45,156170.0,28110.6,0.0,184280.6,105750.0,50420.0,Delayed,1,9.0,False
ORD-000124,CUS-0003,2026-08-22,2026-09-04,2026-08-26,2026-08-30,Delivered,Website,15,299975.0,53995.5,0.0,353970.5,208300.0,91675.0,On Time,0,8.0,False
ORD-000125,CUS-0035,2025-08-23,2025-09-01,2025-08-25,2025-08-29,Delivered,Corporate Account,30,5662462.5,1019243.25,0.0,6681705.75,4406250.0,1256212.5,On Time,0,6.0,False
ORD-000126,CUS-0102,2026-08-07,2026-08-17,2026-08-10,2026-08-14,Delivered,Phone / WhatsApp,45,2423203.75,436176.67,0.0,2859380.42,1937200.0,486003.75,On Time,0,7.0,False
ORD-000127,CUS-0058,2026-06-02,2026-06-08,2026-06-04,2026-06-08,Delivered,Website,45,1013998.75,182519.77,0.0,1196518.52,717250.0,296748.75,On Time,0,6.0,False
ORD-000128,CUS-0041,2026-05-06,2026-05-19,2026-05-12,2026-05-14,Delivered,Direct Sales,45,488695.0,87965.1,0.0,576660.1,395950.0,92745.0,On Time,0,8.0,False
ORD-000129,CUS-0089,2025-04-12,2025-04-27,2025-04-18,2025-04-21,Delivered,Website,45,2240150.0,403227.0,0.0,2643377.0,1600750.0,639400.0,On Time,0,9.0,False
ORD-000130,CUS-0035,2026-04-01,2026-04-06,,,Processing,Direct Sales,30,1404766.25,252857.92,0.0,1657624.18,1013700.0,391066.25,Overdue Open Order,148,,True
ORD-000131,CUS-0100,2025-08-18,2025-08-25,,,Processing,Direct Sales,45,517128.75,93083.18,0.0,610211.93,396050.0,121078.75,Overdue Open Order,372,,True
ORD-000132,CUS-0024,2026-02-28,2026-03-09,2026-03-03,2026-03-04,Delivered,Direct Sales,60,1876182.5,337712.85,0.0,2213895.35,1403100.0,473082.5,On Time,0,4.0,False
ORD-000133,CUS-0037,2025-11-16,2025-12-01,2025-11-18,2025-11-21,Delivered,Direct Sales,30,846570.0,152382.6,0.0,998952.6,639400.0,207170.0,On Time,0,5.0,False
ORD-000134,CUS-0001,2026-06-18,2026-06-30,2026-06-25,2026-06-29,Delivered,Website,45,4865826.25,875848.72,0.0,5741674.97,3680150.0,1185676.25,On Time,0,11.0,False
ORD-000135,CUS-0100,2025-05-27,2025-06-04,2025-06-02,2025-06-04,Delivered,Website,45,2360786.25,424941.52,0.0,2785727.77,1749050.0,611736.25,On Time,0,8.0,False
ORD-000136,CUS-0052,2026-06-10,2026-06-25,2026-06-16,2026-06-17,Delivered,Corporate Account,45,294390.0,52990.2,0.0,347380.2,222550.0,71840.0,On Time,0,7.0,False
ORD-000137,CUS-0059,2025-04-28,2025-05-03,2025-04-30,2025-05-01,Delivered,Direct Sales,30,1014652.5,182637.45,0.0,1197289.95,796100.0,218552.5,On Time,0,3.0,False
ORD-000138,CUS-0044,2025-03-03,2025-03-18,,,Processing,Tender,60,862265.0,155207.7,0.0,1017472.7,623950.0,238315.0,Overdue Open Order,532,,True
ORD-000139,CUS-0045,2025-11-10,2025-11-25,2025-11-16,2025-11-19,Delivered,Phone / WhatsApp,60,2338947.5,421010.55,0.0,2759958.05,1751950.0,586997.5,On Time,0,9.0,False
ORD-000140,CUS-0059,2025-10-24,2025-11-06,2025-10-26,2025-10-31,Delivered,Website,30,720362.5,129665.25,0.0,850027.75,523900.0,196462.5,On Time,0,7.0,False
ORD-000141,CUS-0090,2025-05-12,2025-05-23,2025-05-15,2025-05-16,Delivered,Phone / WhatsApp,30,442747.5,79694.55,0.0,522442.05,332150.0,110597.5,On Time,0,4.0,False
ORD-000142,CUS-0001,2025-09-22,2025-09-28,2025-09-23,2025-09-26,Delivered,Corporate Account,45,2790326.25,502258.72,0.0,3292584.98,2022250.0,768076.25,On Time,0,4.0,False
