payment_id,invoice_id,order_id,customer_id,payment_date,payment_method,payment_amount
PAY-0000067,INV-000049,ORD-000067,CUS-0057,2026-05-18,Cheque,391483.15
PAY-0000068,INV-000049,ORD-000067,CUS-0057,2026-05-24,Online Transfer,354673.63
PAY-0000069,INV-000050,ORD-000069,CUS-0064,2026-08-13,Cheque,692556.11
PAY-0000070,INV-000050,ORD-000069,CUS-0064,2026-08-25,Bank Transfer,798210.75
PAY-0000071,INV-000051,ORD-000070,CUS-0083,2026-08-14,Cash,502305.35
PAY-0000072,INV-000052,ORD-000071,CUS-0083,2025-07-07,Online Transfer,17.51
PAY-0000073,INV-000052,ORD-000071,CUS-0083,2025-07-18,Cheque,33634.49
PAY-0000074,INV-000053,ORD-000072,CUS-0055,2026-03-05,Bank Transfer,3811686.15
PAY-0000075,INV-000054,ORD-000073,CUS-0098,2025-12-13,Bank Transfer,614861.17
PAY-0000076,INV-000054,ORD-000073,CUS-0098,2026-04-21,Bank Transfer,138810.73
PAY-0000077,INV-000055,ORD-000075,CUS-0044,2026-06-19,Cheque,8055048.75
PAY-0000078,INV-000056,ORD-000077,CUS-0094,2025-12-13,Online Transfer,335970.73
PAY-0000079,INV-000056,ORD-000077,CUS-0094,2026-03-05,Online Transfer,548746.07
PAY-0000080,INV-000057,ORD-000078,CUS-0084,2026-06-20,Bank Transfer,180481.0
PAY-0000081,INV-000058,ORD-000081,CUS-0106,2026-03-21,Online Transfer,319042.5
PAY-0000082,INV-000059,ORD-000083,CUS-0038,2026-07-19,Bank Transfer,2332433.73
PAY-0000083,INV-000060,ORD-000084,CUS-0088,2026-07-23,Cheque,278135.14
PAY-0000084,INV-000060,ORD-000084,CUS-0088,2026-08-10,Online Transfer,325849.33
PAY-0000085,INV-000061,ORD-000085,CUS-0049,2026-06-11,Cash,968827.2
PAY-0000086,INV-000062,ORD-000086,CUS-0003,2026-08-21,Bank Transfer,241354.25
PAY-0000087,INV-000063,ORD-000087,CUS-0086,2026-01-03,Online Transfer,91571.63
PAY-0000088,INV-000064,ORD-000089,CUS-0039,2026-01-21,Cheque,65880.17
PAY-0000089,INV-000064,ORD-000089,CUS-0039,2026-04-27,Cheque,2816137.08
PAY-0000090,INV-000065,ORD-000090,CUS-0099,2026-07-31,Bank Transfer,1161562.5
PAY-0000091,INV-000066,ORD-000091,CUS-0069,2026-07-07,Online Transfer,297920.5
PAY-0000092,INV-000067,ORD-000093,CUS-0055,2025-07-25,Bank Transfer,2797974.7
PAY-0000093,INV-000068,ORD-000094,CUS-0046,2025-10-30,Online Transfer,447947.88
PAY-0000094,INV-000068,ORD-000094,CUS-0046,2026-01-04,Bank Transfer,181434.62
PAY-0000095,INV-000069,ORD-000095,CUS-0059,2026-01-18,Cheque,522716.4
PAY-0000096,INV-000070,ORD-000098,CUS-0045,2026-08-17,Bank Transfer,313205.04
PAY-0000097,INV-000071,ORD-000099,CUS-0118,2026-06-07,Online Transfer,443500.05
PAY-0000098,INV-000072,ORD-000100,CUS-0070,2026-08-01,Cheque,250030.2
PAY-0000099,INV-000073,ORD-000101,CUS-0047,2025-11-18,Bank Transfer,334757.73
PAY-0000100,INV-000073,ORD-000101,CUS-0047,2026-05-20,Bank Transfer,3393390.32
PAY-0000101,INV-000074,ORD-000102,CUS-0038,2026-03-28,Bank Transfer,633209.83
PAY-0000102,INV-000074,ORD-000102,CUS-0038,2026-04-30,Online Transfer,203032.57
PAY-0000103,INV-000075,ORD-000104,CUS-0084,2025-11-20,Bank Transfer,176831.85
PAY-0000104,INV-000076,ORD-000105,CUS-0064,2026-01-22,Bank Transfer,6844370.29
PAY-0000105,INV-000076,ORD-000105,CUS-0064,2026-04-22,Online Transfer,10140.56
PAY-0000106,INV-000077,ORD-000106,CUS-0001,2026-06-10,Cheque,282668.33
PAY-0000107,INV-000077,ORD-000106,CUS-0001,2026-07-15,Bank Transfer,3689148.25
PAY-0000108,INV-000078,ORD-000107,CUS-0069,2025-10-25,Bank Transfer,1451211.2
PAY-0000109,INV-000079,ORD-000109,CUS-0044,2026-08-26,Online Transfer,1065855.65
PAY-0000110,INV-000080,ORD-000111,CUS-0042,2026-08-27,Bank Transfer,484832.5
PAY-0000111,INV-000081,ORD-000112,CUS-0081,2025-06-01,Bank Transfer,55870.96
PAY-0000112,INV-000081,ORD-000112,CUS-0081,2025-12-11,Bank Transfer,590474.04
PAY-0000113,INV-000082,ORD-000113,CUS-0002,2026-04-26,Bank Transfer,3275994.17
PAY-0000114,INV-000083,ORD-000114,CUS-0048,2025-08-17,Cheque,54583.55
PAY-0000115,INV-000083,ORD-000114,CUS-0048,2025-11-28,Bank Transfer,1220166.02
PAY-0000116,INV-000084,ORD-000116,CUS-0063,2026-03-01,Bank Transfer,6957253.45
PAY-0000117,INV-000085,ORD-000117,CUS-0024,2026-05-26,Cheque,627640.82
PAY-0000118,INV-000086,ORD-000118,CUS-0097,2026-06-17,Bank Transfer,474870.35
PAY-0000119,INV-000087,ORD-000119,CUS-0003,2026-05-24,Cheque,4764.8
PAY-0000120,INV-000088,ORD-000120,CUS-0053,2025-12-23,Online Transfer,746630.26
PAY-0000121,INV-000088,ORD-000120,CUS-0053,2026-02-13,Cheque,604238.17
PAY-0000122,INV-000089,ORD-000123,CUS-0056,2026-06-20,Bank Transfer,184280.6
PAY-0000123,INV-000090,ORD-000124,CUS-0003,2026-09-01,Bank Transfer,123889.67
PAY-0000124,INV-000091,ORD-000125,CUS-0035,2025-10-16,Cheque,2998111.53
PAY-0000125,INV-000091,ORD-000125,CUS-0035,2025-11-12,Bank Transfer,3683594.22
PAY-0000126,INV-000092,ORD-000126,CUS-0102,2026-08-18,Bank Transfer,660248.0
PAY-0000127,INV-000092,ORD-000126,CUS-0102,2026-08-31,Cheque,626473.19
PAY-0000128,INV-000093,ORD-000127,CUS-0058,2026-06-23,Bank Transfer,316458.31
PAY-0000129,INV-000093,ORD-000127,CUS-0058,2026-07-22,Bank Transfer,827917.57
PAY-0000130,INV-000093,ORD-000127,CUS-0058,2026-07-22,Bank Transfer,52142.64
PAY-0000131,INV-000094,ORD-000128,CUS-0041,2026-07-28,Cheque,576660.1
PAY-0000132,INV-000095,ORD-000129,CUS-0089,2025-06-03,Bank Transfer,674290.98
PAY-0000133,INV-000095,ORD-000129,CUS-0089,2025-07-22,Cheque,1969086.02
PAY-0000134,INV-000096,ORD-000132,CUS-0024,2026-04-06,Bank Transfer,816355.39
PAY-0000135,INV-000096,ORD-000132,CUS-0024,2026-04-27,Bank Transfer,1114385.34
PAY-0000136,INV-000096,ORD-000132,CUS-0024,2026-08-17,Bank Transfer,283154.62
PAY-0000137,INV-000097,ORD-000133,CUS-0037,2026-03-07,Online Transfer,998952.6
PAY-0000138,INV-000098,ORD-000134,CUS-0001,2026-07-30,Online Transfer,2167993.95
PAY-0000139,INV-000098,ORD-000134,CUS-0001,2026-08-25,Online Transfer,3573681.02
PAY-0000140,INV-000099,ORD-000135,CUS-0100,2025-09-10,Cheque,1448335.91
PAY-0000141,INV-000099,ORD-000135,CUS-0100,2025-11-06,Cheque,1206922.23
PAY-0000142,INV-000099,ORD-000135,CUS-0100,2026-05-08,Bank Transfer,130469.63
PAY-0000143,INV-000100,ORD-000136,CUS-0052,2026-07-25,Bank Transfer,347380.2
PAY-0000144,INV-000101,ORD-000137,CUS-0059,2026-06-30,Cheque,1197289.95
PAY-0000145,INV-000102,ORD-000139,CUS-0045,2026-03-24,Online Transfer,2759958.05
PAY-0000146,INV-000103,ORD-000140,CUS-0059,2026-02-27,Bank Transfer,850027.75
PAY-0000147,INV-000104,ORD-000141,CUS-0090,2025-12-14,Cheque,206396.91
PAY-0000148,INV-000104,ORD-000141,CUS-0090,2026-05-27,Online Transfer,316045.14
PAY-0000149,INV-000105,ORD-000142,CUS-0001,2026-02-24,Online Transfer,1226815.34
PAY-0000150,INV-000105,ORD-000142,CUS-0001,2026-06-01,Cheque,1084606.56
PAY-0000151,INV-000105,ORD-000142,CUS-0001,2026-07-16,Cheque,981163.08
PAY-0000152,INV-000106,ORD-000143,CUS-0034,2025-11-14,Bank Transfer,2870562.4
PAY-0000153,INV-000107,ORD-000144,CUS-0109,2026-08-30,Bank Transfer,296048.72
PAY-0000154,INV-000108,ORD-000145,CUS-0043,2026-08-15,Online Transfer,3439949.27
PAY-0000155,INV-000109,ORD-000147,CUS-0054,2026-05-09,Bank Transfer,78008.25
PAY-0000156,INV-000110,ORD-000148,CUS-0025,2026-07-02,Cheque,533029.81
PAY-0000157,INV-000110,ORD-000148,CUS-0025,2026-08-08,Bank Transfer,366404.54
PAY-0000158,INV-000111,ORD-000150,CUS-0075,2025-06-10,Online Transfer,351908.09
PAY-0000159,INV-000111,ORD-000150,CUS-0075,2026-04-10,Bank Transfer,40604.16
PAY-0000160,INV-000112,ORD-000151,CUS-0004,2026-06-24,Cash,1227303.25
PAY-0000161,INV-000113,ORD-000152,CUS-0096,2026-06-29,Cheque,1053273.8
PAY-0000162,INV-000113,ORD-000152,CUS-0096,2026-08-15,Bank Transfer,1095776.12
PAY-0000163,INV-000114,ORD-000153,CUS-0079,2026-08-12,Cheque,175234.87
PAY-0000164,INV-000115,ORD-000154,CUS-0090,2026-08-27,Bank Transfer,275234.04
PAY-0000165,INV-000116,ORD-000155,CUS-0080,2026-02-03,Cheque,613104.4
PAY-0000166,INV-000117,ORD-000157,CUS-0005,2026-08-25,Bank Transfer,7915866.28
PAY-0000167,INV-000118,ORD-000158,CUS-0058,2026-06-04,Bank Transfer,1043510.88
PAY-0000168,INV-000119,ORD-000159,CUS-0050,2026-03-08,Online Transfer,869488.9
PAY-0000169,INV-000120,ORD-000160,CUS-0094,2025-05-28,Cheque,377163.4
PAY-0000170,INV-000121,ORD-000161,CUS-0116,2026-07-28,Cheque,111465.65
PAY-0000171,INV-000122,ORD-000162,CUS-0036,2025-09-08,Bank Transfer,983305.8
PAY-0000172,INV-000123,ORD-000163,CUS-0043,2026-08-11,Online Transfer,249269.68
PAY-0000173,INV-000123,ORD-000163,CUS-0043,2026-08-18,Online Transfer,1852148.07
PAY-0000174,INV-000124,ORD-000164,CUS-0105,2026-01-29,Bank Transfer,454429.8
PAY-0000175,INV-000125,ORD-000166,CUS-0024,2026-02-18,Bank Transfer,196173.78
PAY-0000176,INV-000125,ORD-000166,CUS-0024,2026-02-23,Bank Transfer,4888166.65
PAY-0000177,INV-000125,ORD-000166,CUS-0024,2026-03-07,Bank Transfer,370053.22
PAY-0000178,INV-000126,ORD-000167,CUS-0075,2026-06-06,Bank Transfer,78605.55
PAY-0000179,INV-000126,ORD-000167,CUS-0075,2026-08-02,Online Transfer,752285.55
PAY-0000180,INV-000127,ORD-000169,CUS-0002,2025-12-16,Bank Transfer,1731123.28
PAY-0000181,INV-000127,ORD-000169,CUS-0002,2026-06-01,Cheque,1094877.89
PAY-0000182,INV-000128,ORD-000171,CUS-0082,2026-08-13,Bank Transfer,52338.8
PAY-0000183,INV-000129,ORD-000172,CUS-0120,2026-07-07,Bank Transfer,343998.12
PAY-0000184,INV-000129,ORD-000172,CUS-0120,2026-07-21,Online Transfer,856939.5
PAY-0000185,INV-000130,ORD-000173,CUS-0101,2026-02-06,Online Transfer,750196.8
PAY-0000186,INV-000131,ORD-000175,CUS-0090,2026-08-08,Bank Transfer,178616.6
PAY-0000187,INV-000132,ORD-000176,CUS-0035,2026-06-16,Online Transfer,3130702.25
PAY-0000188,INV-000133,ORD-000177,CUS-0083,2026-04-15,Online Transfer,178287.67
PAY-0000189,INV-000134,ORD-000178,CUS-0082,2026-02-12,Bank Transfer,118846.5
PAY-0000190,INV-000135,ORD-000179,CUS-0002,2026-07-11,Bank Transfer,378465.3
PAY-0000191,INV-000136,ORD-000180,CUS-0046,2026-06-05,Online Transfer,1924850.2
PAY-0000192,INV-000136,ORD-000180,CUS-0046,2026-06-26,Bank Transfer,2483174.02
PAY-0000193,INV-000137,ORD-000181,CUS-0050,2026-03-30,Bank Transfer,6831494.73
PAY-0000194,INV-000137,ORD-000181,CUS-0050,2026-06-27,Online Transfer,1863898.72
PAY-0000195,INV-000138,ORD-000183,CUS-0120,2026-08-18,Bank Transfer,2735337.35
PAY-0000196,INV-000139,ORD-000185,CUS-0001,2026-07-26,Bank Transfer,5935633.05
PAY-0000197,INV-000140,ORD-000186,CUS-0034,2026-08-06,Bank Transfer,222429.54
PAY-0000198,INV-000140,ORD-000186,CUS-0034,2026-08-15,Bank Transfer,276787.39
PAY-0000199,INV-000140,ORD-000186,CUS-0034,2026-08-27,Bank Transfer,252692.35
PAY-0000200,INV-000141,ORD-000187,CUS-0010,2026-08-31,Bank Transfer,7540.0
PAY-0000201,INV-000141,ORD-000187,CUS-0010,2026-09-01,Bank Transfer,205995.01
PAY-0000202,INV-000142,ORD-000188,CUS-0092,2026-08-03,Online Transfer,80989.3
PAY-0000203,INV-000143,ORD-000191,CUS-0049,2026-02-21,Cash,636413.82
PAY-0000204,INV-000144,ORD-000192,CUS-0032,2026-07-04,Bank Transfer,338083.28
PAY-0000205,INV-000145,ORD-000194,CUS-0034,2026-05-15,Cheque,279225.88
PAY-0000206,INV-000145,ORD-000194,CUS-0034,2026-08-20,Online Transfer,391421.22
PAY-0000207,INV-000146,ORD-000195,CUS-0102,2026-08-05,Bank Transfer,194894.7
PAY-0000208,INV-000147,ORD-000196,CUS-0095,2026-07-06,Cheque,1374281.1
PAY-0000209,INV-000148,ORD-000197,CUS-0002,2026-07-14,Cheque,508662.16
PAY-0000210,INV-000149,ORD-000198,CUS-0049,2026-08-31,Online Transfer,724059.8
PAY-0000211,INV-000150,ORD-000199,CUS-0012,2026-02-18,Bank Transfer,641625.0
PAY-0000212,INV-000151,ORD-000200,CUS-0074,2026-02-10,Cheque,286148.44
PAY-0000213,INV-000151,ORD-000200,CUS-0074,2026-06-22,Online Transfer,1478591.71
PAY-0000214,INV-000152,ORD-000202,CUS-0059,2026-05-19,Bank Transfer,1393358.75
PAY-0000215,INV-000153,ORD-000203,CUS-0049,2026-01-28,Bank Transfer,5216036.6
PAY-0000216,INV-000154,ORD-000204,CUS-0059,2026-01-14,Bank Transfer,395432.75
PAY-0000217,INV-000155,ORD-000206,CUS-0085,2026-07-03,Bank Transfer,3454686.0
PAY-0000218,INV-000156,ORD-000209,CUS-0011,2026-09-01,Bank Transfer,1198275.25
PAY-0000219,INV-000157,ORD-000210,CUS-0037,2025-05-01,Cheque,339471.25
PAY-0000220,INV-000158,ORD-000211,CUS-0018,2026-06-16,Cheque,435502.6
PAY-0000221,INV-000159,ORD-000212,CUS-0069,2025-11-05,Cheque,308046.38
PAY-0000222,INV-000160,ORD-000213,CUS-0054,2026-04-03,Cheque,230049.85
PAY-0000223,INV-000161,ORD-000214,CUS-0055,2026-06-20,Online Transfer,2208545.25
PAY-0000224,INV-000161,ORD-000214,CUS-0055,2026-08-01,Online Transfer,1021588.23
PAY-0000225,INV-000162,ORD-000218,CUS-0089,2026-09-01,Cheque,815584.14
PAY-0000226,INV-000163,ORD-000219,CUS-0004,2026-06-15,Cheque,1982881.02
PAY-0000227,INV-000163,ORD-000219,CUS-0004,2026-08-03,Cheque,220955.4
PAY-0000228,INV-000163,ORD-000219,CUS-0004,2026-08-31,Bank Transfer,40547.18
PAY-0000229,INV-000164,ORD-000220,CUS-0113,2025-07-25,Online Transfer,233057.96
PAY-0000230,INV-000164,ORD-000220,CUS-0113,2026-02-08,Bank Transfer,921501.24
PAY-0000231,INV-000165,ORD-000221,CUS-0007,2026-08-27,Bank Transfer,258390.5
PAY-0000232,INV-000166,ORD-000222,CUS-0028,2026-07-25,Online Transfer,871867.58
PAY-0000233,INV-000166,ORD-000222,CUS-0028,2026-07-28,Cheque,170113.72
PAY-0000234,INV-000167,ORD-000223,CUS-0100,2026-08-25,Bank Transfer,172150.2
PAY-0000235,INV-000168,ORD-000225,CUS-0110,2025-09-18,Bank Transfer,558010.2
PAY-0000236,INV-000169,ORD-000226,CUS-0050,2026-04-25,Bank Transfer,700950.97
PAY-0000237,INV-000170,ORD-000228,CUS-0064,2026-02-09,Cheque,1513019.6
PAY-0000238,INV-000171,ORD-000230,CUS-0008,2025-07-06,Online Transfer,313995.05
PAY-0000239,INV-000172,ORD-000232,CUS-0067,2026-08-18,Online Transfer,10278.28
PAY-0000240,INV-000172,ORD-000232,CUS-0067,2026-08-24,Cheque,168071.34
PAY-0000241,INV-000173,ORD-000235,CUS-0014,2026-07-16,Cheque,1981311.45
PAY-0000242,INV-000174,ORD-000236,CUS-0045,2026-02-01,Bank Transfer,2164062.48
PAY-0000243,INV-000175,ORD-000237,CUS-0086,2026-06-17,Cheque,267358.5
PAY-0000244,INV-000176,ORD-000238,CUS-0047,2026-08-28,Online Transfer,30464.1
PAY-0000245,INV-000177,ORD-000240,CUS-0021,2025-10-01,Online Transfer,20999.2
PAY-0000246,INV-000177,ORD-000240,CUS-0021,2026-01-26,Cheque,133362.5
PAY-0000247,INV-000178,ORD-000241,CUS-0067,2026-07-22,Cheque,26930.57
PAY-0000248,INV-000178,ORD-000241,CUS-0067,2026-08-10,Bank Transfer,1822650.11
PAY-0000249,INV-000179,ORD-000246,CUS-0108,2025-08-11,Bank Transfer,3972559.98
PAY-0000250,INV-000180,ORD-000247,CUS-0036,2026-06-19,Bank Transfer,3860403.92
PAY-0000251,INV-000181,ORD-000248,CUS-0036,2026-04-09,Bank Transfer,1557818.64
PAY-0000252,INV-000181,ORD-000248,CUS-0036,2026-07-07,Bank Transfer,197266.16
PAY-0000253,INV-000182,ORD-000249,CUS-0003,2026-08-23,Bank Transfer,729181.0
PAY-0000254,INV-000183,ORD-000250,CUS-0036,2026-03-21,Online Transfer,421178.88
PAY-0000255,INV-000184,ORD-000251,CUS-0095,2026-04-26,Bank Transfer,1139071.7
PAY-0000256,INV-000185,ORD-000253,CUS-0090,2025-06-28,Bank Transfer,465350.7
PAY-0000257,INV-000186,ORD-000254,CUS-0075,2026-08-17,Bank Transfer,1577193.31
PAY-0000258,INV-000187,ORD-000255,CUS-0071,2026-08-01,Online Transfer,3768378.67
PAY-0000259,INV-000188,ORD-000257,CUS-0044,2026-05-02,Online Transfer,75685.05
PAY-0000260,INV-000189,ORD-000258,CUS-0068,2026-08-17,Bank Transfer,23119.2
PAY-0000261,INV-000190,ORD-000259,CUS-0024,2025-11-26,Online Transfer,2159175.21
PAY-0000262,INV-000190,ORD-000259,CUS-0024,2025-12-27,Bank Transfer,716157.34
PAY-0000263,INV-000191,ORD-000260,CUS-0001,2026-08-25,Bank Transfer,2142315.86
PAY-0000264,INV-000191,ORD-000260,CUS-0001,2026-08-25,Online Transfer,6527238.54
PAY-0000265,INV-000192,ORD-000261,CUS-0046,2026-08-30,Online Transfer,809855.32
PAY-0000266,INV-000193,ORD-000263,CUS-0001,2025-08-26,Cheque,166796.14
PAY-0000267,INV-000193,ORD-000263,CUS-0001,2025-11-14,Online Transfer,1137876.76
PAY-0000268,INV-000194,ORD-000264,CUS-0053,2026-04-16,Online Transfer,55462.8
PAY-0000269,INV-000195,ORD-000265,CUS-0055,2026-06-29,Online Transfer,2932860.5
PAY-0000270,INV-000196,ORD-000266,CUS-0048,2025-07-16,Bank Transfer,1791358.0
PAY-0000271,INV-000197,ORD-000267,CUS-0080,2026-08-15,Online Transfer,611694.3
PAY-0000272,INV-000198,ORD-000268,CUS-0048,2026-03-25,Online Transfer,434405.2
PAY-0000273,INV-000199,ORD-000269,CUS-0071,2025-10-05,Online Transfer,626802.72
PAY-0000274,INV-000200,ORD-000271,CUS-0030,2026-05-17,Online Transfer,77488.2
PAY-0000275,INV-000201,ORD-000273,CUS-0104,2025-12-10,Bank Transfer,1242400.48
PAY-0000276,INV-000201,ORD-000273,CUS-0104,2025-12-24,Bank Transfer,607736.27
PAY-0000277,INV-000202,ORD-000274,CUS-0056,2026-01-04,Online Transfer,2197794.25
PAY-0000278,INV-000203,ORD-000275,CUS-0043,2026-04-28,Bank Transfer,1544811.75
PAY-0000279,INV-000204,ORD-000276,CUS-0097,2025-11-23,Bank Transfer,1112676.47
PAY-0000280,INV-000204,ORD-000276,CUS-0097,2026-05-31,Bank Transfer,2238104.63
PAY-0000281,INV-000205,ORD-000277,CUS-0092,2026-01-25,Online Transfer,4030.06
PAY-0000282,INV-000205,ORD-000277,CUS-0092,2026-02-09,Bank Transfer,2012.66
PAY-0000283,INV-000206,ORD-000278,CUS-0039,2026-05-01,Cheque,464596.28
PAY-0000284,INV-000206,ORD-000278,CUS-0039,2026-06-05,Bank Transfer,1645646.39
PAY-0000285,INV-000207,ORD-000280,CUS-0005,2026-08-22,Bank Transfer,2717522.3
PAY-0000286,INV-000208,ORD-000282,CUS-0036,2026-08-24,Bank Transfer,7692681.08
PAY-0000287,INV-000209,ORD-000283,CUS-0005,2026-05-15,Bank Transfer,3917558.7
PAY-0000288,INV-000210,ORD-000284,CUS-0045,2026-03-16,Cheque,461644.03
PAY-0000289,INV-000211,ORD-000285,CUS-0115,2026-04-29,Cheque,1300737.6
PAY-0000290,INV-000212,ORD-000286,CUS-0050,2026-06-29,Online Transfer,692873.77
PAY-0000291,INV-000212,ORD-000286,CUS-0050,2026-08-06,Cheque,1388280.43
PAY-0000292,INV-000213,ORD-000287,CUS-0084,2026-05-14,Cheque,116718.1
PAY-0000293,INV-000214,ORD-000289,CUS-0004,2026-05-19,Cheque,5157002.67
PAY-0000294,INV-000215,ORD-000292,CUS-0029,2026-09-01,Cheque,422587.5
